game_id,date,season,week,league,away,home,assist_tackles,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,solo_tackles,tackles
FOOTBALL_XFL_2020_2_9_STL@DAL,2020-02-09,2020,1,XFL,STL,DAL,,,,4.0,1.0,26.0,,
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,1.0,5.0,1.0,3.0,1.0,23.0,1.0,2.0
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,,,,3.0,,3.0,,
FOOTBALL_XFL_2023_2_18_VGS@ARL,2023-02-18,2023,1,XFL,VGS,ARL,,,,,,24.0,,1.0
FOOTBALL_XFL_2023_2_26_ARL@HOU,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,,,,,,11.0,,
