game_id,date,season,week,league,away,home,gp,kr_no,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,7.0,1.0,15.0,70.0,49.0,,7.0,538.0,7.0,61.0,44.0,4.0,323.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,3.0,,,65.0,29.0,5.0,2.0,221.0,,,50.0,3.0,317.0
