game_id,date,season,week,league,away,home,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_td,pass_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,8.0,16.0,1.0,515.0,1.0,1.0,1.0,58.0,12.0,196.0,61.0,8.0,788.0,6.0,9.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,6.0,16.0,,263.0,,,,,,,27.0,1.0,428.0,3.0,
