game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,12.0,408.0,285.0,5.0,30.0,3535.0,66.0,2.0,363.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,12.0,331.0,225.0,6.0,35.0,2888.0,83.0,10.0,337.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,297.0,198.0,4.0,27.0,2456.0,81.0,4.0,360.0
