game_id,date,season,week,league,away,home,assists,catches,completions,goals,hockeyAssists,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-SEA-OAK,2023-04-29,2023,1,AUDL,SEATTLE CASCADES,OAKLAND SPIDERS,,4.0,5.0,,,,6.0,1.0,7.0,11.0
2023-05-19-OAK-POR,2023-05-19,2023,4,AUDL,OAKLAND SPIDERS,PORTLAND NITRO,1.0,9.0,10.0,,1.0,,11.0,1.0,41.0,32.0
2023-06-03-OAK-SLC,2023-06-03,2023,6,AUDL,OAKLAND SPIDERS,SALT LAKE SHRED,,3.0,4.0,,1.0,1.0,4.0,3.0,18.0,17.0
2023-06-17-COL-OAK,2023-06-17,2023,8,AUDL,COLORADO SUMMIT,OAKLAND SPIDERS,1.0,4.0,3.0,1.0,,,3.0,,3.0,18.0
2023-07-08-POR-OAK,2023-07-08,2023,11,AUDL,PORTLAND NITRO,OAKLAND SPIDERS,2.0,12.0,17.0,,1.0,,18.0,1.0,63.0,71.0
