game_id,date,season,week,league,away,home,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_15_SSK@TOR,2016-10-15,2016,1,CFL,SSK,TOR,1.0,,,,,,,,1.0,4.0,,4.0,,,
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,11.0,10.0,,35.0,7.0,2.0,,120.0,1.0,,1.0,16.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,,,,,,,,,2.0,,1.0,1.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_7_25_MTL@TOR,2016-07-25,2016,1,CFL,MTL,TOR,,,,,3.0,1.0,,,,,,,,,
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,,,,,,,,,1.0,,1.0,1.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,,,,,,,,,1.0,2.0,,2.0,,,
FOOTBALL_CFL_2016_8_26_SSK@EDM,2016-08-26,2016,1,CFL,SSK,EDM,1.0,1.0,,43.0,,,,43.0,1.0,1.0,,1.0,,,
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,,,,,1.0,1.0,,,,,,,,,
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,19.0,10.0,2.0,27.0,5.0,2.0,,133.0,4.0,14.0,,40.0,,,
FOOTBALL_CFL_2017_10_27_MTL@SSK,2017-10-27,2017,1,CFL,MTL,SSK,15.0,10.0,1.0,28.0,,,,124.0,1.0,17.0,,17.0,,,
FOOTBALL_CFL_2017_10_7_SSK@TOR,2017-10-07,2017,1,CFL,SSK,TOR,28.0,20.0,,,3.0,1.0,2.0,292.0,2.0,8.0,,13.0,,,
FOOTBALL_CFL_2017_11_12_SSK@OTT,2017-11-12,2017,1,CFL,SSK,OTT,,,,,,,,,1.0,1.0,,1.0,,,
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,21.0,11.0,,35.0,34.0,3.0,1.0,141.0,2.0,36.0,,43.0,,,
FOOTBALL_CFL_2017_11_4_EDM@SSK,2017-11-04,2017,1,CFL,EDM,SSK,18.0,12.0,,28.0,9.0,1.0,1.0,162.0,6.0,14.0,,25.0,,,
FOOTBALL_CFL_2017_6_22_SSK@MTL,2017-06-22,2017,1,CFL,SSK,MTL,2.0,,,,,,,,1.0,3.0,,3.0,,,
FOOTBALL_CFL_2017_7_22_SSK@CGY,2017-07-22,2017,1,CFL,SSK,CGY,2.0,2.0,,7.0,,,,10.0,,,,,,,
FOOTBALL_CFL_2017_8_13_BC@SSK,2017-08-13,2017,1,CFL,BC,SSK,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_25_SSK@EDM,2017-08-25,2017,1,CFL,SSK,EDM,1.0,1.0,,,,,1.0,12.0,,,,,,,
FOOTBALL_CFL_2017_8_5_SSK@BC,2017-08-05,2017,1,CFL,SSK,BC,6.0,6.0,,46.0,,,2.0,114.0,,,,,,,
FOOTBALL_CFL_2017_9_15_SSK@HAM,2017-09-15,2017,1,CFL,SSK,HAM,31.0,21.0,,27.0,21.0,3.0,3.0,231.0,2.0,6.0,,7.0,,,
FOOTBALL_CFL_2017_9_24_CGY@SSK,2017-09-24,2017,1,CFL,CGY,SSK,7.0,6.0,,38.0,13.0,1.0,1.0,91.0,3.0,8.0,,12.0,,,
FOOTBALL_CFL_2017_9_9_SSK@WPG,2017-09-09,2017,1,CFL,SSK,WPG,8.0,4.0,1.0,41.0,11.0,1.0,,67.0,1.0,,1.0,10.0,6.0,1.0,1.0
