game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,12.0,498.0,293.0,14.0,25.0,3518.0,1.0,35.0,,,,67.0,4.0,228.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,5.0,161.0,91.0,7.0,9.0,1142.0,,,1.0,1.0,5.0,15.0,,60.0
