game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rushing_tds,rushing_yards,sacks,tackles
FOOTBALL_CFL_2019_10_12_MTL@WPG,2019-10-12,2019,1,CFL,MTL,WPG,,,,,,,,,,24.0,1.0,24.0,,,,
FOOTBALL_CFL_2019_10_18_TOR@MTL,2019-10-18,2019,1,CFL,TOR,MTL,,,,,,,,,,23.0,2.0,28.0,,,,
FOOTBALL_CFL_2019_10_5_CGY@MTL,2019-10-05,2019,1,CFL,CGY,MTL,,,,,,,,,,13.0,1.0,13.0,,,,
FOOTBALL_CFL_2019_11_1_MTL@OTT,2019-11-01,2019,1,CFL,MTL,OTT,,,,,8.0,1.0,3.0,2.0,8.0,16.0,1.0,16.0,,,,
FOOTBALL_CFL_2019_9_21_WPG@MTL,2019-09-21,2019,1,CFL,WPG,MTL,,,,,,,,,,21.0,2.0,31.0,,,,
FOOTBALL_CFL_2021_10_11_OTT@MTL,2021-10-11,2021,1,CFL,OTT,MTL,,,,,16.0,1.0,2.0,9.0,16.0,,,,,,,
FOOTBALL_CFL_2021_10_16_MTL@OTT,2021-10-16,2021,1,CFL,MTL,OTT,,,,,55.0,1.0,1.0,16.0,55.0,,,,,,,
FOOTBALL_CFL_2021_10_22_TOR@MTL,2021-10-22,2021,1,CFL,TOR,MTL,,,,,17.0,1.0,1.0,11.0,17.0,,,,,,,
FOOTBALL_CFL_2021_10_2_MTL@HAM,2021-10-02,2021,1,CFL,MTL,HAM,,,,,,,1.0,,,,,,,,,
FOOTBALL_CFL_2021_11_19_OTT@MTL,2021-11-19,2021,1,CFL,OTT,MTL,,,,,,,,,,6.0,1.0,6.0,,,,
FOOTBALL_CFL_2021_11_28_MTL@HAM,2021-11-28,2021,1,CFL,MTL,HAM,,,,,28.0,3.0,4.0,4.0,45.0,,,,,,,
FOOTBALL_CFL_2021_11_6_MTL@WPG,2021-11-06,2021,1,CFL,MTL,WPG,,,,,,,2.0,,,,,,,,,
FOOTBALL_CFL_2021_8_14_MTL@EDM,2021-08-14,2021,1,CFL,MTL,EDM,,,,,9.0,1.0,1.0,2.0,9.0,,,,,,,
FOOTBALL_CFL_2021_8_20_MTL@CGY,2021-08-20,2021,1,CFL,MTL,CGY,,,,,,,1.0,,,,,,,,,
FOOTBALL_CFL_2021_8_27_HAM@MTL,2021-08-27,2021,1,CFL,HAM,MTL,,,,,5.0,1.0,2.0,,5.0,,,,,,,
FOOTBALL_CFL_2021_9_18_BC@MTL,2021-09-18,2021,1,CFL,BC,MTL,,,,,13.0,1.0,2.0,3.0,13.0,,,,,,,
FOOTBALL_CFL_2021_9_24_MTL@TOR,2021-09-24,2021,1,CFL,MTL,TOR,,,,,9.0,2.0,3.0,9.0,18.0,,,,,,,
FOOTBALL_CFL_2021_9_3_MTL@OTT,2021-09-03,2021,1,CFL,MTL,OTT,,,,,,,,,,15.0,1.0,15.0,,,,
SYNTHETIC_CFL_2022_W1_MTL,,2022,1,CFL,,,,0.0,10.0,1.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W2_MTL,,2022,2,CFL,,,,0.0,0.0,0.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_MTL,,2022,3,CFL,,,,1.0,75.0,2.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_MTL,,2022,4,CFL,,,,0.0,17.0,3.0,,,,,,,,,,,,
6230,2022-07-14,2022,6,CFL,EDM,MTL,,0.0,51.0,2.0,,,,,,,,,,,,
6234,2022-07-21,2022,7,CFL,MTL,OTT,,0.0,40.0,3.0,,,,,,,,,,,,
6242,2022-08-04,2022,9,CFL,WPG,MTL,,0.0,5.0,1.0,,,,,,,,,,,,
6246,2022-08-11,2022,10,CFL,MTL,WPG,,0.0,50.0,2.0,,,,,,,,,,,,
6252,2022-08-20,2022,11,CFL,HAM,MTL,,1.0,74.0,3.0,,,,,,,,,,,,
6258,2022-09-02,2022,13,CFL,OTT,MTL,,0.0,16.0,2.0,,,,,,,,,,,,
6262,2022-09-09,2022,14,CFL,BC,MTL,,0.0,15.0,1.0,,,,,,,,,,,,
6269,2022-09-23,2022,16,CFL,HAM,MTL,,0.0,46.0,5.0,,,,,,,,,,,,
6274,2022-10-01,2022,17,CFL,MTL,EDM,,0.0,21.0,2.0,,,,,,,,,,,,
6280,2022-10-14,2022,19,CFL,MTL,OTT,,0.0,12.0,2.0,,,,,,,,,,,,
6286,2022-10-22,2022,20,CFL,TOR,MTL,,0.0,30.0,3.0,,,,,,,,,,,,
9889285,2023-06-10,2023,1,CFL,OTT,MTL,,0.0,62.0,2.0,,,,,,,,,,,,
9889292,2023-06-23,2023,3,CFL,MTL,HAM,,0.0,94.0,6.0,,,,,,,,,,,,
9889296,2023-07-01,2023,4,CFL,WPG,MTL,,0.0,129.0,6.0,,,,,,,,,,,,
9889301,2023-07-09,2023,5,CFL,MTL,BC,,0.0,49.0,5.0,,,,,,,,,0.0,17.0,,
9889303,2023-07-14,2023,6,CFL,TOR,MTL,,0.0,64.0,6.0,,,,,,,,,0.0,7.0,,
9889313,2023-07-30,2023,8,CFL,CGY,MTL,,0.0,71.0,5.0,,,,,,,,,,,,
9889338,2023-09-15,2023,15,CFL,TOR,MTL,,0.0,4.0,3.0,,,,,,,,,,,,
9889344,2023-09-23,2023,16,CFL,MTL,CGY,,0.0,0.0,0.0,,,,,,,,,,,,
9889348,2023-09-30,2023,17,CFL,MTL,OTT,,0.0,22.0,3.0,,,,,,,,,,,,
10798016,2024-06-06,2024,1,CFL,MTL,WPG,0.0,0.0,30.0,2.0,,,,,,,,,,,0.0,1.0
10798146,2024-05-25,2024,2,CFL,TOR,MTL,,0.0,89.0,6.0,,,,,,,,,,,,
10798024,2024-06-20,2024,3,CFL,OTT,MTL,,0.0,116.0,8.0,,,,,,,,,,,,
10798029,2024-06-28,2024,4,CFL,MTL,TOR,,0.0,33.0,6.0,,,,,,,,,,,,
10798034,2024-07-06,2024,5,CFL,CGY,MTL,,1.0,20.0,4.0,,,,,,,,,,,,
10798074,2024-09-14,2024,15,CFL,MTL,CGY,,0.0,71.0,8.0,,,,,,,,,,,,
10798077,2024-09-21,2024,16,CFL,MTL,OTT,,0.0,26.0,2.0,,,,,,,,,,,,
10798082,2024-09-28,2024,17,CFL,MTL,TOR,,0.0,40.0,5.0,,,,,,,,,,,,
10798089,2024-10-14,2024,19,CFL,OTT,MTL,,0.0,0.0,0.0,,,,,,,,,,,,
10798092,2024-10-19,2024,20,CFL,MTL,BC,,0.0,27.0,3.0,,,,,,,,,,,,
10798095,2024-10-26,2024,21,CFL,WPG,MTL,,0.0,34.0,2.0,,,,,,,,,,,,
11824048,2025-06-07,2025,1,CFL,EDM,BC,,,8.0,2.0,,,,,,,,,,,,
11824053,2025-06-19,2025,3,CFL,MTL,EDM,,1.0,48.0,2.0,,,,,,,,,,,,
11824057,2025-06-26,2025,4,CFL,EDM,WPG,,1.0,115.0,5.0,,,,,,,,,0.0,14.0,,
11824064,2025-07-06,2025,5,CFL,OTT,EDM,,0.0,14.0,2.0,,,,,,,,,,,,
11824067,2025-07-13,2025,6,CFL,BC,EDM,,0.0,5.0,1.0,,,,,,,,,,,,
11824073,2025-07-25,2025,8,CFL,EDM,SSK,,1.0,69.0,2.0,,,,,,,,,,,,
11824078,2025-08-02,2025,9,CFL,HAM,EDM,,0.0,42.0,2.0,,,,,,,,,,,,
11824081,2025-08-08,2025,10,CFL,EDM,MTL,,2.0,45.0,5.0,,,,,,,,,,,,
11824085,2025-08-15,2025,11,CFL,TOR,EDM,,0.0,33.0,4.0,,,,,,,,,,,,
11824089,2025-08-22,2025,12,CFL,EDM,OTT,,0.0,18.0,2.0,,,,,,,,,,,,
11824094,2025-09-01,2025,13,CFL,EDM,CGY,,0.0,37.0,1.0,,,,,,,,,,,,
11824098,2025-09-06,2025,14,CFL,CGY,EDM,,1.0,48.0,5.0,,,,,,,,,,,,
11824101,2025-09-13,2025,15,CFL,EDM,TOR,,1.0,61.0,5.0,,,,,,,,,,,,
11824106,2025-09-20,2025,16,CFL,EDM,HAM,,,35.0,5.0,,,,,,,,,,,,
11824110,2025-09-27,2025,17,CFL,SSK,EDM,,0.0,89.0,4.0,,,,,,,,,,,,
11824116,2025-10-11,2025,19,CFL,WPG,EDM,,0.0,69.0,3.0,,,,,,,,,,,,
11824119,2025-10-17,2025,20,CFL,EDM,BC,,0.0,47.0,4.0,,,,,,,,,,,,
11824123,2025-10-24,2025,21,CFL,CGY,EDM,,0.0,37.0,3.0,,,,,,,,,,,,
