game_id,date,season,week,league,away,home,def_fr,def_sacks,def_tackles,gp
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,3.0,51.0,11.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,0.5,19.0,5.0
