game_id,date,season,week,league,away,home,def_int,def_pd,def_tackles,gp,kr_no,kr_yds,pass_att,pass_cmp,pass_td,pass_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,3.0,2.0,14.0,4.0,5.0,182.0,,,,,4.0,43.0,3.0,1.0,44.0,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,2.0,3.0,4.0,121.0,1.0,1.0,1.0,12.0,,,13.0,2.0,102.0,4.0,2.0,8.0
