game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,20.0,9.0,7.0,4.0,27.0,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,,2.0,1.0,2.0,1.0,,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,32.0,18.0,25.0,4.0,57.0,1.0,3.0,1.0
