game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,33.0,,,12.0,18.0,,5.0,,51.0,,,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,52.0,,,19.0,29.0,,10.0,,81.0,,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,44.0,,,18.0,31.0,,4.0,,75.0,10.0,7.0,1.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,39.0,,,18.0,42.0,,10.0,,81.0,10.0,11.0,,,
703331825,2025-10-29,2025,1,NLL,GEORGIA,BUFFALO,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0
