game_id,date,season,week,league,away,home,recv_fd,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,,5.0,2.0,6.0,1.0,5.0
FOOTBALL_CFL_2016_8_20_NYG@BUF,2016-08-20,2016,1,CFL,NYG,BUF,1.0,11.0,1.0,2.0,7.0,11.0
