game_id,date,season,week,league,away,home,def_ff,def_fr,def_pd,def_sacks,def_tackles,gp,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,1.0,1.0,,20.0,12.0,3.0,110.0,1.0,,5.0,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,0.5,14.0,6.0,8.0,313.0,,,,1.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,1.0,2.5,21.0,12.0,4.0,186.0,1.0,1.0,2.0,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,2.0,3.5,33.0,12.0,7.0,323.0,,,,
