game_id,date,season,week,league,away,home,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions
SALINA-CORPUS,,,1,,,,,,,,36.0,2.0
CORPUSCHRISTI-WASHINGTON-0413,0413,,3,,CORPUSCHRISTI,WASHINGTON,186.0,0.0,0.0,362.0,17398.0,1556.0
TRITONS-LIBERTY-0328,0328,,3,,TRITONS,LIBERTY,,,,0.0,6.0,1.0
BILLINGS-SALINA-0524,0524,,11,,BILLINGS,SALINA,,,,2.0,127.0,9.0
SYNTHETIC_AF1_2025_W5_CORPUSCHRISTI,,2025,5,AF1,,,,,,1.0,43.0,4.0
SYNTHETIC_AF1_2025_W6_CORPUSCHRISTI,,2025,6,AF1,,,,,,,84.0,6.0
SYNTHETIC_AF1_2025_W14_CORPUSCHRISTI,,2025,14,AF1,,,,,,1.0,41.0,5.0
