game_id,date,season,week,league,away,home,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,recv_td,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards
FOOTBALL_UFL_2025_4_12_ARL@BHM,2025-04-12,2025,3,UFL,ARL,BHM,,,,,,,,,,,,1.0,,,,,,
FOOTBALL_UFL_2025_5_17_BHM@STL,2025-05-17,2025,8,UFL,BHM,STL,,,,,,,,,,,,1.0,,,,,,
FOOTBALL_IFL_2026_5_17_TIOWABARNSTORMERSG202605177DL7@TNAZWRANGLERS,2026-05-17,2026,,IFL,Iowa Barnstormers,NAZ Wranglers,,,,,,8.0,8.0,,0.0,8.0,1.0,,,,,,,
FOOTBALL_IFL_2026_5_2_TQUADCITYSTEAMWHEELERSG20260502INST@TIOWABARNSTORMERS,2026-05-02,2026,,IFL,Quad City Steamwheelers,Iowa Barnstormers,,,,,,1.0,1.0,,0.0,1.0,1.0,,,,,,,
FOOTBALL_NAL_2026_3_7_T570667G1127138@T577047,2026-03-08,2026,1,NAL,Colorado Spartans,Pueblo Punishers,3.0,17.0,24.0,0.0,53.0,12.0,22.0,0.0,0.0,36.0,3.0,,4.0,15.0,10.0,0.0,1.0,40.0
FOOTBALL_IFL_2026_4_4_TGREENBAYBLIZZARDG2026040443LQ@TIOWABARNSTORMERS,2026-04-04,2026,4,IFL,Green Bay Blizzard,Iowa Barnstormers,2.0,6.0,6.0,0.0,12.0,6.5,8.0,,0.0,13.0,2.0,,,,,,,
FOOTBALL_NAL_2026_3_28_T570667G1127147@T600411,2026-03-28,2026,4,NAL,Colorado Spartans,Salina Liberty,,,,,,5.0,5.0,0.0,0.0,5.0,1.0,,2.0,7.0,13.0,0.0,0.0,25.0
FOOTBALL_IFL_2026_4_11_TIOWABARNSTORMERSG20260411Y06T@TFISHERSFREIGHT,2026-04-11,2026,5,IFL,Iowa Barnstormers,Fishers Freight,1.0,6.0,6.0,0.0,6.0,-1.0,0.0,,0.0,-1.0,1.0,,14.0,14.0,1.0,,1.0,14.0
FOOTBALL_NAL_2026_4_4_T570667G1127152@T600414,2026-04-04,2026,5,NAL,Colorado Spartans,Southwest Kansas Storm,,,,,,6.0,8.0,0.0,0.0,12.0,2.0,,1.0,9.0,5.0,1.0,0.0,3.0
FOOTBALL_IFL_2026_4_18_TIOWABARNSTORMERSG20260418BIFV@TGREENBAYBLIZZARD,2026-04-18,2026,6,IFL,Iowa Barnstormers,Green Bay Blizzard,2.0,12.5,14.0,0.0,25.0,15.3,19.0,,0.0,46.0,3.0,,,,,,,
FOOTBALL_IFL_2026_4_25_TFISHERSFREIGHTG202604259U64@TIOWABARNSTORMERS,2026-04-25,2026,7,IFL,Fishers Freight,Iowa Barnstormers,,,,,,5.0,5.0,,0.0,10.0,2.0,,4.0,6.0,3.0,,0.0,12.0
