game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_p,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2017_10_13_CGY@HAM,2017-10-13,2017,1,CFL,CGY,HAM,,,,,,,29.0,5.0,7.0,,24.0,75.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_11_19_EDM@CGY,2017-11-19,2017,1,CFL,EDM,CGY,,,,,,,4.0,1.0,3.0,,4.0,4.0,,,,1.0,,1.0,13.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2017_11_26_CGY@TOR,2017-11-26,2017,1,CFL,CGY,TOR,,,,,,,50.0,1.0,2.0,,8.0,50.0,6.0,1.0,6.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_6_29_OTT@CGY,2017-06-29,2017,1,CFL,OTT,CGY,,,,,,,,2.0,4.0,1.0,6.0,37.0,,,,,,,,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2017_7_22_SSK@CGY,2017-07-22,2017,1,CFL,SSK,CGY,,,,,,,,,,,,,22.0,3.0,57.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_7_29_HAM@CGY,2017-07-29,2017,1,CFL,HAM,CGY,,,,,,,60.0,6.0,9.0,1.0,63.0,190.0,,,,1.0,7.0,,7.0,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2017_8_18_CGY@BC,2017-08-18,2017,1,CFL,CGY,BC,,,,,,,40.0,4.0,9.0,,25.0,79.0,,,,1.0,4.0,,4.0,,,,,,,,
FOOTBALL_CFL_2017_8_26_TOR@CGY,2017-08-26,2017,1,CFL,TOR,CGY,,,,,,,20.0,4.0,5.0,,21.0,58.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_3_CGY@TOR,2017-08-03,2017,1,CFL,CGY,TOR,,,,,,,8.0,1.0,1.0,,4.0,8.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_16_BC@CGY,2017-09-16,2017,1,CFL,BC,CGY,,,,,,,,5.0,11.0,1.0,23.0,95.0,,,,,,,,,,,1.0,6.0,,1.0,
