game_id,date,season,week,league,away,home,interceptions_made,sacks,tackles
SYNTHETIC_CFL_2023_W9_SSK,2023-08-06,2023,9,CFL,OTT,SSK,0.0,0.0,0.0
SYNTHETIC_CFL_2023_W11_SSK,2023-08-20,2023,11,CFL,BC,SSK,0.0,0.0,0.0
SYNTHETIC_CFL_2023_W13_SSK,2023-09-03,2023,13,CFL,WPG,SSK,0.0,0.0,0.0
SYNTHETIC_CFL_2023_W15_SSK,2023-09-15,2023,15,CFL,EDM,SSK,0.0,0.0,0.0
SYNTHETIC_CFL_2023_W16_SSK,2023-09-22,2023,16,CFL,SSK,OTT,0.0,0.0,1.0
SYNTHETIC_CFL_2023_W18_SSK,2023-10-07,2023,18,CFL,HAM,SSK,0.0,0.0,0.0
SYNTHETIC_CFL_2023_W19_SSK,2023-10-13,2023,19,CFL,SSK,CGY,0.0,0.0,0.0
