game_id,date,season,week,league,away,home,def_fr,def_tackles,gp
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,18.0,6.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,13.0,8.0
