game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_td,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rush_td,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_NAL_2025_5_4_T425361G981353@T425358,2025-05-04,2025,9,NAL,Sioux City Bandits,Idaho Horsemen,,541.0,,,,,,,2.0,,,,,,,,,,,37.0,20.0,17.0,24.0,,9.0,72.0,3.0,3.0,81.0,184.0,18.0,,,,,,5.0,10.0,,9.0,0.0,1.0,42.0,,,,
FOOTBALL_NAL_2025_5_15_T425357G979285@T425358,2025-05-16,2025,11,NAL,Colorado Spartans,Idaho Horsemen,0.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,21.0,7.0,14.0,14.0,,8.0,3.0,1.0,0.0,0.0,54.0,9.0,,,,,,3.0,3.0,,3.0,0.0,0.0,8.0,0.0,0.0,,2.0
FOOTBALL_IFL_2026_3_22_TORLANDOPIRATESG20260322MNDZ@TNEWMEXICOCHUPACABRAS,2026-03-22,2026,2,IFL,Orlando Pirates,New Mexico Chupacabras,,,,,,,,,,1.0,,,,,,24.0,24.0,0.0,24.0,,,,,,,,,,,,,-2.0,0.0,0.0,-2.0,1.0,10.0,45.0,,5.0,,1.0,50.0,,,,
FOOTBALL_IFL_2026_4_4_TTUCSONSUGARSKULLSG202604045N9L@TNEWMEXICOCHUPACABRAS,2026-04-04,2026,4,IFL,Tucson Sugar Skulls,New Mexico Chupacabras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,18.0,1.0,50.0,5.0,2.4,8.0,,5.0,,0.0,12.0,,,,
FOOTBALL_IFL_2026_4_11_TNAZWRANGLERSG2026041170L8@TNEWMEXICOCHUPACABRAS,2026-04-11,2026,5,IFL,NAZ Wranglers,New Mexico Chupacabras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,16.0,1.0,47.0,7.0,1.3,5.0,,9.0,,1.0,12.0,,,,
FOOTBALL_IFL_2026_4_19_TNEWMEXICOCHUPACABRASG20260419817Y@TTUCSONSUGARSKULLS,2026-04-19,2026,6,IFL,New Mexico Chupacabras,Tucson Sugar Skulls,,,,,,,,,,3.0,,,,,,17.7,39.0,0.0,53.0,,,,,,,,,,,,,15.3,31.0,0.0,61.0,4.0,1.3,6.0,,8.0,,0.0,10.0,,,,
FOOTBALL_IFL_2026_4_25_TNEWMEXICOCHUPACABRASG20260425GFZ9@TVEGASKNIGHTHAWKS,2026-04-25,2026,7,IFL,New Mexico Chupacabras,Vegas Knight Hawks,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,21.0,0.0,28.0,2.0,3.7,10.0,,6.0,,1.0,22.0,,,2.0,2.0
FOOTBALL_NAL_2026_4_18_T566774G1127156@T570667,2026-04-19,2026,7,NAL,Omaha Beef,Colorado Spartans,,500.0,,,,,,,1.0,,,,,,,,,,,2.0,1.0,1.0,11.0,,11.0,27.0,1.0,0.0,0.0,11.0,1.0,,,,,,-1.0,0.0,,1.0,0.0,0.0,-1.0,,,,
FOOTBALL_IFL_2026_5_2_TNEWMEXICOCHUPACABRASG20260502IFQJ@TJACKSONVILLESHARKS,2026-05-02,2026,8,IFL,New Mexico Chupacabras,Jacksonville Sharks,,,,,,,,,,1.0,38.7,0.0,0.0,116.0,3.0,7.0,7.0,0.0,7.0,,,,,,,,,,,,,4.0,6.0,0.0,8.0,2.0,4.0,11.0,,7.0,,0.0,28.0,,,,
FOOTBALL_NAL_2026_4_25_T581933G1127161@T566774,2026-04-25,2026,8,NAL,Dallas Bulls,Omaha Beef,,667.0,,,,,,,1.0,,,,,,,,,,,15.0,10.0,5.0,35.0,,20.0,122.0,2.0,6.0,400.0,201.0,10.0,,,,,,2.0,3.0,,4.0,0.0,0.0,6.0,,,,
FOOTBALL_IFL_2026_5_18_TARIZONARATTLERSG20260518E0UH@TNEWMEXICOCHUPACABRAS,2026-05-18,2026,10,IFL,Arizona Rattlers,New Mexico Chupacabras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,11.0,0.0,21.0,4.0,0.4,7.0,,8.0,,0.0,3.0,,,,
