game_id,date,season,week,league,away,home,def_ff,def_fr,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds,rush_att
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,1.0,1.0,9.0,,,4.0,1.0,26.0,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,1.0,12.0,,,48.0,4.0,533.0,1.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,,3.0,9.0,,,17.0,3.0,219.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,3.0,12.0,20.0,288.0,45.0,4.0,577.0,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,,8.0,4.0,95.0,6.0,1.0,110.0,
