game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-PHI-NY,2023-04-29,2023,1,AUDL,PHILADELPHIA PHOENIX,NEW YORK EMPIRE,,,,2.0,1.0,,1.0,1.0,,24.0,5.0
2023-05-05-TOR-NY,2023-05-05,2023,2,AUDL,TORONTO RUSH,NEW YORK EMPIRE,,1.0,,3.0,,,3.0,,,50.0,
2023-05-20-NY-PHI,2023-05-20,2023,4,AUDL,NEW YORK EMPIRE,PHILADELPHIA PHOENIX,,1.0,,1.0,2.0,,,2.0,,5.0,8.0
2023-07-14-NY-COL,2023-07-14,2023,12,AUDL,NEW YORK EMPIRE,COLORADO SUMMIT,,1.0,0.0,9.0,10.0,,0.0,10.0,0.0,45.0,72.0
2024-04-27-MTL-NY,2024-04-27,2024,1,UFA,royal,empire,1.0,1.0,,,,0.0,1.0,,0.0,24.0,2.0
2024-05-04-NY-ATL,2024-05-04,2024,2,UFA,empire,hustle,0.0,0.0,,,,0.0,1.0,,0.0,11.0,2.0
2024-05-17-NY-BOS,2024-05-17,2024,4,UFA,empire,glory,0.0,1.0,,,,0.0,0.0,,0.0,10.0,23.0
2024-05-18-NY-MTL,2024-05-18,2024,4,UFA,empire,royal,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0
2024-05-24-PHI-NY,2024-05-24,2024,5,UFA,phoenix,empire,1.0,0.0,,,,0.0,1.0,,0.0,76.0,7.0
2024-05-31-BOS-NY,2024-05-31,2024,6,UFA,glory,empire,0.0,1.0,,,,0.0,0.0,,0.0,0.0,-7.0
2024-06-08-NY-DC,2024-06-08,2024,7,UFA,empire,breeze,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0
2024-06-15-NY-PHI,2024-06-15,2024,8,UFA,empire,phoenix,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0
2024-06-21-TOR-NY,2024-06-21,2024,9,UFA,rush,empire,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0
2024-06-29-SLC-NY,2024-06-29,2024,10,UFA,shred,empire,0.0,3.0,,,,0.0,0.0,,0.0,0.0,9.0
2024-07-12-NY-MIN,2024-07-12,2024,12,UFA,empire,windchill,1.0,0.0,,,,0.0,0.0,,0.0,54.0,46.0
2024-07-20-DC-NY,2024-07-20,2024,13,UFA,breeze,empire,1.0,1.0,,,,0.0,0.0,,0.0,0.0,6.0
