game_id,date,season,week,league,away,home,2_pointer,3_pointer,4_pointer,assist,blockedShot,rebound,steal
2452439,,,1,,,,8.0,2.0,0.0,1.0,1.0,6.0,0.0
2457577,,,2,,,,7.0,3.0,0.0,2.0,0.0,4.0,3.0
2463135,,,3,,,,8.0,1.0,1.0,1.0,0.0,3.0,2.0
2463413,2022-07-08,,4,BIG3,Ghost Ballers,Killer 3s,5.0,1.0,0.0,3.0,0.0,7.0,0.0
2463420,2022-07-17,,5,BIG3,Ghost Ballers,3s Company,3.0,1.0,0.0,4.0,0.0,7.0,1.0
2464827,2022-07-23,,6,BIG3,Triplets,Ghost Ballers,8.0,3.0,0.0,3.0,1.0,5.0,1.0
2559384,2023-06-25,2023,1,BIG3,3\'s COMPANY,GHOST BALLERS,7.0,1.0,0.0,3.0,1.0,7.0,1.0
2559390,2023-07-01,2023,2,BIG3,ALIENS,GHOST BALLERS,3.0,1.0,0.0,2.0,2.0,4.0,0.0
2559396,2023-07-09,2023,3,BIG3,GHOST BALLERS,BALL HOGS,4.0,2.0,0.0,3.0,1.0,3.0,1.0
2559402,2023-07-15,2023,4,BIG3,GHOST BALLERS,TRI-STATE,8.0,5.0,0.0,0.0,0.0,4.0,1.0
2559408,2023-07-23,2023,5,BIG3,POWER,GHOST BALLERS,7.0,3.0,0.0,1.0,1.0,4.0,1.0
2559420,2023-07-30,2023,6,BIG3,3 HEADED MONSTERS,GHOST BALLERS,7.0,4.0,0.0,4.0,0.0,0.0,2.0
2660095,2024-06-15,2024,1,BIG3,KILLER 3\'s,GHOST BALLERS,9.0,1.0,0.0,5.0,0.0,10.0,0.0
