game_id,date,season,week,league,away,home,assists,blk,blocks,cto,drops,goals,lb,pim,sog,throwaways,to,yardsReceived,yardsThrown
SYNTHETIC_AUDL_2022_W1_RADICALS,,2022,1,AUDL,,,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0
SYNTHETIC_AUDL_2022_W2_RADICALS,,2022,2,AUDL,,,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0
SYNTHETIC_AUDL_2022_W3_RADICALS,,2022,3,AUDL,,,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0
2022-06-18-ATX-MAD,2022-06-18,2022,4,,ATX,MAD,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0
2022-06-25-MAD-MIN,2022-06-25,2022,5,,MAD,MIN,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0
2022-07-10-MIN-MAD,2022-07-10,2022,7,AUDL,windchill,radicals,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0
2022-07-15-IND-MAD,2022-07-15,2022,8,AUDL,alleycats,radicals,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0
2022-07-16-MAD-DET,2022-07-16,2022,8,AUDL,radicals,mechanix,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0
2022-07-29-CHI-MAD,2022-07-29,2022,10,AUDL,union,radicals,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0
703328545,2025-10-29,2025,1,NLL,SAN DIEGO,OTTAWA,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,
