game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,games_played,minutes,off_rebounds,points,rebounds,steals,turnovers
UNRIVALED_2025_SEASON_TOTAL,,2025,1,UNRIVALED,,,1.1,0.7,5.6,18.2,3.3,0.6,48.5,10.1,4.9,1.8,66.7,1.2,0.8,10.0,10.9,1.7,11.7,7.3,0.7,1.0
UNRIVALED_2026_SEASON_TOTAL,,2026,1,UNRIVALED,,,1.5,0.3,5.0,35.1,3.7,1.3,41.2,9.7,4.0,1.5,100.0,0.9,0.9,10.0,10.6,1.5,10.8,6.5,0.3,0.6
