game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,pass_defended,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,recv_td,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_UFL_2024_4_20_DC@BHAM,2024-04-20,2024,4,UFL,DC,BHAM,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
FOOTBALL_UFL_2024_4_28_STL@DC,2024-04-28,2024,5,UFL,STL,DC,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
FOOTBALL_UFL_2024_5_5_SA@DC,2024-05-05,2024,6,UFL,SA,DC,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
FOOTBALL_NAL_2025_3_15_T425362G979253@T425356,2025-03-15,2025,2,NAL,Wheeling Miners,Carolina Cobras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,12.0,0.0,1.0,33.0,4.0,,3.0,7.0,4.0,0.0,0.0,13.0,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_3_21_T425356G979257@T434514,2025-03-21,2025,3,NAL,Carolina Cobras,Columbus Lions,,,,,,,,,6.0,10.0,0.0,0.0,19.0,3.0,,-2.0,0.0,3.0,0.0,0.0,-7.0,,,,,,,
FOOTBALL_NAL_2025_4_5_T425362G979262@T425356,2025-04-05,2025,5,NAL,Wheeling Miners,Carolina Cobras,,,,,,,,,8.0,0.0,0.0,2.0,15.0,2.0,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_4_10_T425356G979264@T425358,2025-04-11,2025,6,NAL,Carolina Cobras,Idaho Horsemen,,,,,,,,,8.0,11.0,0.0,0.0,15.0,2.0,,-2.0,0.0,1.0,0.0,0.0,-2.0,,,,,,,
FOOTBALL_NAL_2025_4_19_T425356G979270@T425362,2025-04-19,2025,7,NAL,Carolina Cobras,Wheeling Miners,,,,,,,,,-6.0,0.0,0.0,0.0,-6.0,1.0,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_5_17_TIOWABARNSTORMERSG202605177DL7@TNAZWRANGLERS,2026-05-17,2026,,IFL,Iowa Barnstormers,NAZ Wranglers,0.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,
FOOTBALL_IFL_2026_3_23_TNAZWRANGLERSG20260323WKQX@TSANDIEGOSTRIKEFORCE,2026-03-23,2026,2,IFL,NAZ Wranglers,San Diego Strike Force,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
FOOTBALL_IFL_2026_3_28_TJACKSONVILLESHARKSG202603289OUR@TNAZWRANGLERS,2026-03-28,2026,3,IFL,Jacksonville Sharks,NAZ Wranglers,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,
