game_id,date,season,week,league,away,home,fumbles,fumbles_lost,games_played,kick_returns,punt_returns,rec_avg,rec_long,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_avg,rush_lg,rush_long,rush_yds,rushing_attempts,rushing_tds,rushing_yards,rushing_yards_per_game,total_yards,yards_per_game
FOOTBALL_NAL_2021_columbus-lions_SEASON_TOTAL,2021-12-31,,0,,,COLUMBUS LIONS,2.0,2.0,94.0,0.0,15.0,11.4,34.0,15.0,591.0,84.4,52.0,7.4,,,,,,,2.0,,15.0,,9.0,0.0,18.0,2.6,609.0,87.0
FOOTBALL_CFL_2017_7_22_SSK@CGY,2017-07-22,2017,1,CFL,SSK,CGY,,,,,,,,,,,,,22.0,2.0,4.0,6.0,28.0,,,,,,,,,,,
FOOTBALL_CFL_2017_7_8_HAM@SSK,2017-07-08,2017,1,CFL,HAM,SSK,,,,,,,,,,,,,6.0,2.0,3.0,8.0,9.0,,,,,,,,,,,
FOOTBALL_CFL_2017_9_29_SSK@OTT,2017-09-29,2017,1,CFL,SSK,OTT,,,,,,,,,,,,,36.0,2.0,5.0,24.0,45.0,1.0,,7.0,,7.0,,,,,,
FOOTBALL_CFL_2017_9_9_SSK@WPG,2017-09-09,2017,1,CFL,SSK,WPG,,,,,,,,,,,,,25.0,1.0,1.0,17.0,25.0,,,,,,,,,,,
