game_id,date,season,week,league,away,home,assist_tackles,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,int_avg,int_long,int_tds,int_yards,interceptions_made,misc_td,score_fr,score_pts,score_tot,solo_tackles
FOOTBALL_CFL_2016_10_14_WPG@BC,2016-10-14,2016,1,CFL,WPG,BC,,,,,4.0,4.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_29_OTT@WPG,2016-10-29,2016,1,CFL,OTT,WPG,,,,,10.0,10.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,,,,1.0,2.0,2.0,,1.0,,,,,,,,,,
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,,,,,4.0,4.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,,,,,2.0,2.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_14_EDM@WPG,2016-07-14,2016,1,CFL,EDM,WPG,,,,1.0,5.0,5.0,,2.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_1_WPG@CGY,2016-07-01,2016,1,CFL,WPG,CGY,,,,,3.0,3.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_21_CGY@WPG,2016-07-21,2016,1,CFL,CGY,WPG,,,,,6.0,6.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_7_WPG@HAM,2016-07-07,2016,1,CFL,WPG,HAM,,,,,3.0,3.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_12_WPG@TOR,2016-08-12,2016,1,CFL,WPG,TOR,,1.0,19.0,,1.0,1.0,19.0,,,,,,,,,,,
FOOTBALL_CFL_2016_8_26_WPG@MTL,2016-08-26,2016,1,CFL,WPG,MTL,,1.0,8.0,,10.0,10.0,8.0,,,,,,,,,,,
FOOTBALL_CFL_2016_8_3_HAM@WPG,2016-08-03,2016,1,CFL,HAM,WPG,,,,,4.0,4.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,,,,,6.0,6.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_17_TOR@WPG,2016-09-17,2016,1,CFL,TOR,WPG,,,,1.0,6.0,6.0,,6.0,,,,,,,,,,
FOOTBALL_CFL_2016_9_24_WPG@CGY,2016-09-24,2016,1,CFL,WPG,CGY,,,,,5.0,5.0,,,,,,,,1.0,1.0,6.0,1.0,
FOOTBALL_CFL_2016_9_30_EDM@WPG,2016-09-30,2016,1,CFL,EDM,WPG,,,,,6.0,6.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_4_WPG@SSK,2016-09-04,2016,1,CFL,WPG,SSK,,,,1.0,6.0,6.0,,6.0,,,,,,,,,,
FOOTBALL_AAF_2019_2_9_ATL@ORL,2019-02-09,2019,1,AAF,ATL,ORL,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,1.0
FOOTBALL_AAF_2019_2_17_ATL@SD,2019-02-17,2019,2,AAF,ATL,SD,2.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,4.0
FOOTBALL_AAF_2019_2_24_BIR@ATL,2019-02-24,2019,3,AAF,BIR,ATL,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,3.0
FOOTBALL_AAF_2019_3_3_ATL@ARI,2019-03-03,2019,4,AAF,ATL,ARI,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,4.0
FOOTBALL_AAF_2019_3_10_MEM@ATL,2019-03-10,2019,5,AAF,MEM,ATL,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,3.0
FOOTBALL_AAF_2019_3_17_SA@ATL,2019-03-17,2019,6,AAF,SA,ATL,2.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,4.0
FOOTBALL_AAF_2019_3_23_ORL@ATL,2019-03-23,2019,7,AAF,ORL,ATL,3.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,5.0
FOOTBALL_AAF_2019_3_31_ATL@BIR,2019-03-31,2019,8,AAF,ATL,BIR,2.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,5.0
