game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds
FOOTBALL_CFL_2022_10_29_MTL@TOR,2022-10-29,2022,1,CFL,MTL,TOR,,,,14.0,2.0,5.0,6.0,25.0
9889326,2023-08-24,2023,12,CFL,MTL,WPG,0.0,5.0,1.0,,,,,
