game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-mls-2018-a2lqRX2Mr0,,2018,1,MLS,,,0.0,0.0,12.8419,1.5015,1.0,,,-0.6441,,1.0,,0.0,258.0,0.48,50.0,-7.9671,-15.9342,0.421,,7.0,,2.0,0.0,1.6441,,-0.4791,1.6441,0.6393,0.7321
soccer-uslc-2018-9Yqdwg85vJ,,2018,1,USLC,,,4.0,1.7445,14.0537,0.8725,10.0,0.0,0.0,-1.9483,0.0,14.0,0.0,23.0,1922.0,0.6838,582.0,-16.7099,-2.8711,5.5029,0.0,61.0,0.0,26.0,2.2555,11.9483,0.0,-2.068,14.2037,0.7126,5.3866
soccer-mls-2019-a2lqRX2Mr0,,2019,1,MLS,,,1.0,-0.0042,12.304,-1.1076,9.0,,,3.1391,,10.0,,11.0,1480.0,0.6195,318.0,-20.6156,-6.4829,3.9545,,29.0,,12.0,1.0042,5.8609,,0.6131,6.8651,0.6843,3.0753
soccer-uslc-2019-9Yqdwg85vJ,,2019,1,USLC,,,0.0,-0.1279,14.066,3.9387,1.0,,,-0.1833,,1.0,,2.0,153.0,0.5909,44.0,-4.489,-10.2022,0.9586,,3.0,,1.0,0.1279,1.1833,,-0.2683,1.3112,0.6929,0.8603
soccer-mls-2020-a2lqRX2Mr0,,2020,1,MLS,,,1.0,0.4683,12.8026,-1.0656,6.0,,,1.0028,,7.0,,9.0,985.0,0.5708,212.0,-31.6002,-14.9057,5.3441,,27.0,,12.0,0.5317,4.9972,,-0.0421,5.5289,0.7198,3.7679
soccer-mls-2021-a2lqRX2Mr0,,2021,1,MLS,,,1.0,0.7073,11.1345,-1.2776,0.0,,,-0.1237,,1.0,,3.0,214.0,0.7111,45.0,2.647,5.8821,0.0,,2.0,,1.0,0.2927,0.1237,,-0.089,0.4164,0.6523,0.0922
soccer-mls-2021-lgpMOvnQzy,,2021,1,MLS,,,4.0,2.2065,13.3256,-1.4142,12.0,,,3.155,,16.0,,13.0,2146.0,0.6435,474.0,-34.5526,-7.2896,7.1689,,47.0,,24.0,1.7935,8.845,,1.7925,10.6385,0.7164,5.5545
soccer-mls-2022-lgpMOvnQzy,,2022,1,MLS,,,1.0,-1.0184,13.7704,-1.6801,4.0,,,-1.0275,,5.0,,14.0,1805.0,0.6758,364.0,-16.6929,-4.586,3.1268,,41.0,,19.0,2.0184,5.0275,,0.8264,7.0459,0.7217,2.9867
soccer-mls-2023-lgpMOvnQzy,,2023,1,MLS,,,3.0,-0.7938,13.5907,-2.3412,16.0,,,-1.4358,,19.0,,32.0,3005.0,0.7021,621.0,-28.7061,-4.6226,7.4876,,103.0,,47.0,3.7938,17.4358,,1.3907,21.2297,0.7483,9.102
soccer-mls-2024-lgpMOvnQzy,,2024,1,MLS,,,2.0,-0.9386,14.1783,-1.0853,16.0,,,0.7622,,18.0,,23.0,3059.0,0.6865,571.0,-29.115,-5.0989,9.5104,,78.0,,30.0,2.9386,15.2378,,-1.2791,18.1763,0.7375,9.1353
soccer-mls-2025-lgpMOvnQzy,,2025,1,MLS,,,2.0,0.6088,14.719,-2.5911,18.0,,,0.7256,,20.0,,12.0,2122.0,0.7515,334.0,-22.0588,-6.6044,9.0252,,59.0,,33.0,1.3912,17.2744,,0.6601,18.6657,0.8175,9.8401
soccer-mls-2026-lgpMOvnQzy,,2026,1,MLS,,,0.0,-0.6785,13.0602,-1.5901,8.0,,,-2.7981,,8.0,,8.0,1046.0,0.7278,169.0,-10.2336,-6.0554,0.8667,,46.0,,23.0,0.6785,10.7981,,-0.3108,11.4766,0.7884,4.098
