game_id,date,season,week,league,away,home,def_sacks,def_tackles,gp,pat_att
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,3.0,9.0,1.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,14.0,10.0,
