game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
10798017,2024-06-07,2024,1,CFL,HAM,CGY,,,,0.0,2.0,1.0,0.0,12.0
10798143,2024-05-25,2024,2,CFL,OTT,HAM,,,,0.0,17.0,2.0,1.0,5.0
10798031,2024-06-30,2024,4,CFL,HAM,OTT,,,,0.0,4.0,1.0,0.0,7.0
10798035,2024-07-07,2024,5,CFL,BC,HAM,,,,0.0,10.0,1.0,0.0,14.0
SYNTHETIC_CFL_2024_W6_HAM,,2024,6,CFL,,,,,,0.0,5.0,1.0,0.0,14.0
10798042,2024-07-20,2024,7,CFL,TOR,HAM,0.0,0.0,30.0,,,,1.0,7.0
10798047,2024-07-28,2024,8,CFL,HAM,EDM,,,,,,,0.0,10.0
10798049,2024-08-02,2024,9,CFL,MTL,HAM,,,,,,,0.0,3.0
10798054,2024-08-10,2024,10,CFL,HAM,MTL,,,,0.0,3.0,1.0,0.0,3.0
10798058,2024-08-17,2024,11,CFL,EDM,HAM,,,,,,,0.0,6.0
10798066,2024-09-02,2024,13,CFL,TOR,HAM,,,,,,,0.0,28.0
SYNTHETIC_CFL_2024_W14_HAM,,2024,14,CFL,,,,,,,,,0.0,6.0
10798073,2024-09-14,2024,15,CFL,OTT,HAM,0.0,0.0,0.0,1.0,20.0,1.0,0.0,36.0
10798075,2024-09-20,2024,16,CFL,HAM,TOR,,,,,,,1.0,8.0
10798080,2024-09-27,2024,17,CFL,HAM,BC,,,,0.0,21.0,2.0,0.0,6.0
10798083,2024-10-04,2024,18,CFL,WPG,HAM,,,,0.0,4.0,1.0,0.0,4.0
10798090,2024-10-18,2024,20,CFL,CGY,HAM,,,,,,,0.0,17.0
10798093,2024-10-25,2024,21,CFL,HAM,OTT,,,,0.0,44.0,3.0,1.0,28.0
