game_id,date,season,week,league,away,home,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_CFL_2022_W1_WPG,,2022,1,CFL,,,,0.0,19.0,0.0
SYNTHETIC_CFL_2022_W3_WPG,,2022,3,CFL,,,,2.0,12.0,1.0
SYNTHETIC_CFL_2022_W4_WPG,,2022,4,CFL,,,,2.0,22.0,3.0
SYNTHETIC_CFL_2022_W5_WPG,,2022,5,CFL,,,,3.0,22.0,1.0
6231,2022-07-15,2022,6,CFL,CGY,WPG,,1.0,19.0,3.0
6236,2022-07-22,2022,7,CFL,WPG,EDM,,1.0,10.0,5.0
6240,2022-07-30,2022,8,CFL,WPG,CGY,,0.0,28.0,0.0
6242,2022-08-04,2022,9,CFL,WPG,MTL,,2.0,20.0,3.0
6246,2022-08-11,2022,10,CFL,MTL,WPG,,0.0,20.0,1.0
6254,2022-08-25,2022,12,CFL,CGY,WPG,,0.0,29.0,1.0
6259,2022-09-04,2022,13,CFL,WPG,SSK,,1.0,18.0,3.0
6264,2022-09-10,2022,14,CFL,SSK,WPG,,1.0,20.0,4.0
6267,2022-09-17,2022,15,CFL,WPG,HAM,,0.0,48.0,0.0
6272,2022-09-30,2022,17,CFL,SSK,WPG,,2.0,13.0,0.0
6278,2022-10-08,2022,18,CFL,EDM,WPG,,0.0,11.0,2.0
6283,2022-10-15,2022,19,CFL,WPG,BC,,0.0,40.0,3.0
6288,2022-10-28,2022,21,CFL,BC,WPG,,0.0,9.0,2.0
9889284,2023-06-09,2023,1,CFL,HAM,WPG,2.0,2.0,31.0,2.0
9889288,2023-06-16,2023,2,CFL,WPG,SSK,,,27.0,3.0
9889291,2023-06-22,2023,3,CFL,BC,WPG,,,30.0,3.0
9889296,2023-07-01,2023,4,CFL,WPG,MTL,,1.0,3.0,5.0
9889299,2023-07-07,2023,5,CFL,CGY,WPG,,1.0,11.0,2.0
9889304,2023-07-15,2023,6,CFL,WPG,OTT,,1.0,31.0,6.0
9889306,2023-07-20,2023,7,CFL,EDM,WPG,,,14.0,3.0
9889314,2023-08-03,2023,9,CFL,BC,WPG,,,14.0,2.0
9889318,2023-08-10,2023,10,CFL,WPG,EDM,,,29.0,1.0
9889323,2023-08-18,2023,11,CFL,WPG,CGY,,,18.0,1.0
9889326,2023-08-24,2023,12,CFL,MTL,WPG,,,17.0,2.0
9889331,2023-09-03,2023,13,CFL,WPG,SSK,,,32.0,3.0
9889336,2023-09-09,2023,14,CFL,SSK,WPG,,,6.0,3.0
9889340,2023-09-16,2023,15,CFL,WPG,HAM,,,29.0,3.0
9889346,2023-09-29,2023,17,CFL,TOR,WPG,,,21.0,0.0
9889351,2023-10-06,2023,18,CFL,WPG,BC,,,26.0,6.0
9889360,2023-10-21,2023,20,CFL,EDM,WPG,,,25.0,5.0
9889361,2023-10-27,2023,21,CFL,WPG,CGY,,,13.0,2.0
10798142,2024-05-20,2024,1,CFL,WPG,SSK,,1.0,27.0,1.0
10798020,2024-06-13,2024,2,CFL,WPG,OTT,,2.0,20.0,1.0
10798025,2024-06-21,2024,3,CFL,BC,WPG,,2.0,14.0,1.0
10798030,2024-06-29,2024,4,CFL,WPG,CGY,,0.0,23.0,3.0
10798033,2024-07-05,2024,5,CFL,OTT,WPG,,0.0,37.0,0.0
10798037,2024-07-12,2024,6,CFL,CGY,WPG,,2.0,37.0,1.0
10798041,2024-07-19,2024,7,CFL,WPG,SSK,,1.0,41.0,1.0
10798046,2024-07-27,2024,8,CFL,WPG,TOR,,0.0,31.0,5.0
10798048,2024-08-01,2024,9,CFL,BC,WPG,,1.0,31.0,2.0
SYNTHETIC_CFL_2024_W10_WPG,,2024,10,CFL,,,,0.0,28.0,1.0
10798059,2024-08-18,2024,11,CFL,WPG,BC,,1.0,27.0,1.0
10798061,2024-08-23,2024,12,CFL,HAM,WPG,,2.0,13.0,0.0
10798065,2024-09-01,2024,13,CFL,WPG,SSK,,0.0,34.0,1.0
10798070,2024-09-07,2024,14,CFL,SSK,WPG,,1.0,21.0,0.0
SYNTHETIC_CFL_2024_W15_WPG,,2024,15,CFL,,,,0.0,32.0,0.0
10798078,2024-09-21,2024,16,CFL,WPG,EDM,,0.0,0.0,0.0
10798079,2024-09-27,2024,17,CFL,EDM,WPG,,0.0,3.0,3.0
10798083,2024-10-04,2024,18,CFL,WPG,HAM,,2.0,10.0,3.0
10798086,2024-10-11,2024,19,CFL,TOR,WPG,,0.0,25.0,0.0
SYNTHETIC_CFL_2024_W20_WPG,,2024,20,CFL,,,,0.0,16.0,1.0
10798095,2024-10-26,2024,21,CFL,WPG,MTL,,1.0,10.0,2.0
11824056,2025-06-21,2025,3,CFL,WPG,BC,,2.0,14.0,1.0
11824057,2025-06-26,2025,4,CFL,EDM,WPG,,,23.0,3.0
11824061,2025-07-03,2025,5,CFL,WPG,CGY,,,37.0,
11824069,2025-07-18,2025,7,CFL,CGY,WPG,,1.0,41.0,1.0
11824074,2025-07-26,2025,8,CFL,WPG,TOR,,,31.0,5.0
11824077,2025-08-01,2025,9,CFL,TOR,WPG,,1.0,31.0,2.0
11824083,2025-08-09,2025,10,CFL,WPG,CGY,,,28.0,1.0
11824084,2025-08-14,2025,11,CFL,OTT,WPG,,1.0,27.0,1.0
11824088,2025-08-21,2025,12,CFL,WPG,MTL,,2.0,13.0,
11824092,2025-08-31,2025,13,CFL,WPG,SSK,,,34.0,1.0
11824097,2025-09-06,2025,14,CFL,SSK,WPG,,1.0,21.0,
11824099,2025-09-12,2025,15,CFL,WPG,HAM,,,32.0,
11824109,2025-09-27,2025,17,CFL,HAM,WPG,,,3.0,3.0
11824116,2025-10-11,2025,19,CFL,WPG,EDM,,,25.0,
11824118,2025-10-17,2025,20,CFL,SSK,WPG,,,16.0,1.0
11824124,2025-10-25,2025,21,CFL,MTL,WPG,,1.0,10.0,2.0
