game_id,date,season,week,league,away,home,def_ff,def_fr,def_sacks,def_tackles,gp
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,,2.5,42.0,12.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,2.0,5.5,30.0,10.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,8.0,37.0,12.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,2.0,8.0,4.0
