game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sh_goals,sog,to
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,5.0,,,14.0,2.0,,8.0,,7.0,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,14.0,,,18.0,7.0,,6.0,,21.0,,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,12.0,,,18.0,8.0,,10.0,,20.0,1.0,,
703344673,2025-12-05,2025,1,NLL,OSHAWA,HALIFAX,0.0,0.0,0.0,,1.0,0.0,,0.0,,,0.0,0.0
