game_id,date,season,week,league,away,home,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_fd,rush_lg,rush_yds,rushing_tds,rushing_yards
FOOTBALL_CFL_2021_11_16_EDM@TOR,2021-11-16,2021,1,CFL,EDM,TOR,,,,,,8.0,1.0,1.0,8.0,8.0,10.0,,14.0,57.0,,
FOOTBALL_CFL_2021_8_14_SEA@LV,2021-08-14,2021,1,CFL,SEA,LV,,,,,,7.0,2.0,2.0,8.0,5.0,1.0,1.0,7.0,7.0,,
SYNTHETIC_USFL_2022_W1_MICH,,2022,1,USFL,,,,0.0,0.0,9.0,1.0,,,,,,,,,,0.0,66.0
SYNTHETIC_USFL_2022_W2_MICH,,2022,2,USFL,,,,0.0,0.0,27.0,3.0,,,,,,,,,,1.0,22.0
SYNTHETIC_USFL_2022_W3_MICH,,2022,3,USFL,,,1.0,,0.0,-3.0,1.0,,,,,,,,,,0.0,33.0
SYNTHETIC_USFL_2022_W4_MICH,,2022,4,USFL,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,14.0
SYNTHETIC_USFL_2022_W5_MICH,,2022,5,USFL,,,,1.0,0.0,18.0,3.0,,,,,,,,,,0.0,4.0
SYNTHETIC_USFL_2022_W7_MICH,,2022,7,USFL,,,,,0.0,-1.0,1.0,,,,,,,,,,1.0,43.0
SYNTHETIC_USFL_2022_W8_MICH,,2022,8,USFL,,,1.0,,1.0,19.0,3.0,,,,,,,,,,0.0,35.0
SYNTHETIC_USFL_2022_W9_MICH,,2022,9,USFL,,,1.0,,0.0,12.0,3.0,,,,,,,,,,0.0,-1.0
