game_id,date,season,week,league,away,home,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions
46,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,,,0.0,23.0,2.0
48,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,1.0,,0.0,0.0,0.0
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,,,1.0,21.0,3.0
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,0.0,52.0,3.0
60,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,,,1.0,89.0,4.0
65,2025-05-09,2025,7,UFL,BRAHMAS,DEFENDERS,,,1.0,70.0,5.0
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,2.0,59.0,4.0
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,2.0,104.0,8.0
91,2026-04-03,2026,2,UFL,DC DEFENDERS,COLUMBUS AVIATORS,,,0.0,41.0,4.0
96,2026-04-11,2026,3,UFL,HOUSTON GAMBLERS,DC DEFENDERS,,,0.0,14.0,2.0
101,2026-04-18,2026,4,UFL,ST. LOUIS BATTLEHAWKS,DC DEFENDERS,,,0.0,85.0,7.0
103,2026-04-24,2026,5,UFL,DC DEFENDERS,BIRMINGHAM STALLIONS,,,0.0,65.0,3.0
109,2026-05-02,2026,6,UFL,DALLAS RENEGADES,DC DEFENDERS,,,1.0,44.0,3.0
112,2026-05-09,2026,7,UFL,LOUISVILLE KINGS,DC DEFENDERS,,1.0,0.0,109.0,4.0
