game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_p,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2018_11_3_WPG@EDM,2018-11-03,2018,1,CFL,WPG,EDM,,,,,1.0,1.0,4.0,,1.0,1.0,10.0,1.0,10.0,7.0,14.0,1.0,51.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2018_7_21_WPG@TOR,2018-07-21,2018,1,CFL,WPG,TOR,,,,,,,,,,,13.0,1.0,13.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_12_TOR@WPG,2019-07-12,2019,1,CFL,TOR,WPG,,,,,,,,,,,,,,1.0,5.0,,5.0,,,,,,,,
FOOTBALL_CFL_2019_7_19_OTT@WPG,2019-07-19,2019,1,CFL,OTT,WPG,,,,,,,,,,,,,,3.0,22.0,,30.0,,,,,,,,
FOOTBALL_CFL_2019_8_15_BC@WPG,2019-08-15,2019,1,CFL,BC,WPG,,,,,,,,,,,,,,5.0,7.0,,25.0,,,,,,,,
FOOTBALL_CFL_2019_9_1_WPG@SSK,2019-09-01,2019,1,CFL,WPG,SSK,,,,,19.0,3.0,4.0,,16.0,17.0,,,,12.0,55.0,,98.0,,,,,,,,
FOOTBALL_CFL_2019_9_27_HAM@WPG,2019-09-27,2019,1,CFL,HAM,WPG,,,,,12.0,1.0,1.0,,9.0,12.0,5.0,1.0,5.0,1.0,9.0,,9.0,,,,,,,,
FOOTBALL_CFL_2019_9_7_SSK@WPG,2019-09-07,2019,1,CFL,SSK,WPG,,,,,,2.0,2.0,1.0,31.0,63.0,,,,16.0,12.0,,75.0,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2021_10_1_WPG@BC,2021-10-01,2021,1,CFL,WPG,BC,,,,,,,,,,,,,,1.0,3.0,,3.0,,,,,,,,
FOOTBALL_CFL_2021_10_23_BC@WPG,2021-10-23,2021,1,CFL,BC,WPG,,,,,,,,,,,,,,4.0,55.0,,73.0,,,,,,,,
FOOTBALL_CFL_2021_11_13_WPG@MTL,2021-11-13,2021,1,CFL,WPG,MTL,,,,,,,1.0,,,,,,,5.0,5.0,,15.0,,,,,,,,
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,,,,,-1.0,1.0,1.0,,-1.0,-1.0,,,,23.0,27.0,,148.0,,,,,,,,
FOOTBALL_CFL_2021_11_6_MTL@WPG,2021-11-06,2021,1,CFL,MTL,WPG,,,,,,1.0,1.0,,,,,,,7.0,13.0,,46.0,,,,,,,,
FOOTBALL_CFL_2022_10_15_WPG@BC,2022-10-15,2022,1,CFL,WPG,BC,,,,,1.0,1.0,2.0,,,1.0,,,,4.0,9.0,,17.0,,,,,,,,
FOOTBALL_CFL_2022_10_28_BC@WPG,2022-10-28,2022,1,CFL,BC,WPG,,,,,,,2.0,,,,,,,10.0,9.0,,42.0,,,,,,,,
FOOTBALL_CFL_2022_10_8_EDM@WPG,2022-10-08,2022,1,CFL,EDM,WPG,,,,,,,,,,,15.0,1.0,15.0,2.0,6.0,,10.0,,,,,,,,
FOOTBALL_CFL_2022_6_10_OTT@WPG,2022-06-10,2022,1,CFL,OTT,WPG,,,,,,,,,,,,,,3.0,7.0,,10.0,,,,,,,,
FOOTBALL_CFL_2022_6_17_WPG@OTT,2022-06-17,2022,1,CFL,WPG,OTT,,,,,,,,,,,,,,7.0,24.0,,43.0,,,,,,,,
FOOTBALL_CFL_2022_6_24_HAM@WPG,2022-06-24,2022,1,CFL,HAM,WPG,,,,,,,,,,,,,,2.0,2.0,,3.0,,,,,,,,
FOOTBALL_CFL_2022_7_15_CGY@WPG,2022-07-15,2022,1,CFL,CGY,WPG,,,,,12.0,1.0,1.0,,12.0,12.0,,,,7.0,7.0,,33.0,,,,,,,,
FOOTBALL_CFL_2022_7_22_WPG@EDM,2022-07-22,2022,1,CFL,WPG,EDM,,,,,,,,,,,,,,3.0,9.0,,15.0,,,,,,,,
FOOTBALL_CFL_2022_7_4_WPG@TOR,2022-07-04,2022,1,CFL,WPG,TOR,,,,,13.0,2.0,2.0,,17.0,19.0,,,,1.0,-1.0,,-1.0,,,,,,,,
FOOTBALL_CFL_2022_7_9_WPG@BC,2022-07-09,2022,1,CFL,WPG,BC,,,,,,,,,,,,,,12.0,19.0,,57.0,,,,,,,,
FOOTBALL_CFL_2022_8_25_CGY@WPG,2022-08-25,2022,1,CFL,CGY,WPG,,,,,,,,,,,,,,7.0,14.0,,38.0,,,,,,,,
