game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,pulls,throwAttempts,yardsReceived,yardsThrown
2023-05-05-CAR-ATL,2023-05-05,2023,2,,CAR,ATL,,,1.0,1.0,,,,,1.0,28.0,-7.0
2023-05-26-HTX-CAR,2023-05-26,2023,5,,HTX,CAR,,1.0,3.0,3.0,,,1.0,,3.0,33.0,31.0
2023-07-25-DAL-CAR,2023-07-25,2023,13,,DAL,CAR,1.0,1.0,6.0,5.0,1.0,1.0,1.0,6.0,5.0,54.0,-9.0
