game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_yds
FOOTBALL_CFL_2016_8_13_CGY@SSK,2016-08-13,2016,1,CFL,CGY,SSK,,,,,1.0,,,,,
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,,,13.0,1.0,1.0,6.0,13.0,,,
FOOTBALL_CFL_2016_8_26_SSK@EDM,2016-08-26,2016,1,CFL,SSK,EDM,,,6.0,1.0,2.0,1.0,6.0,,,
FOOTBALL_CFL_2016_8_4_SSK@CGY,2016-08-04,2016,1,CFL,SSK,CGY,,,5.0,1.0,1.0,1.0,5.0,,,
FOOTBALL_CFL_2017_10_13_OTT@SSK,2017-10-13,2017,1,CFL,OTT,SSK,,,11.0,2.0,2.0,8.0,15.0,,,
FOOTBALL_CFL_2017_7_1_WPG@SSK,2017-07-01,2017,1,CFL,WPG,SSK,,,10.0,2.0,3.0,9.0,16.0,,,
FOOTBALL_CFL_2017_7_22_SSK@CGY,2017-07-22,2017,1,CFL,SSK,CGY,,,12.0,1.0,1.0,8.0,12.0,,,
FOOTBALL_CFL_2017_8_13_BC@SSK,2017-08-13,2017,1,CFL,BC,SSK,,,39.0,1.0,1.0,28.0,39.0,,,
FOOTBALL_CFL_2017_8_5_SSK@BC,2017-08-05,2017,1,CFL,SSK,BC,,,3.0,1.0,1.0,,3.0,,,
FOOTBALL_CFL_2018_10_8_EDM@SSK,2018-10-08,2018,1,CFL,EDM,SSK,,,6.0,1.0,1.0,2.0,6.0,,,
FOOTBALL_CFL_2018_6_15_TOR@SSK,2018-06-15,2018,1,CFL,TOR,SSK,,,12.0,1.0,2.0,8.0,12.0,,,
FOOTBALL_CFL_2018_6_21_SSK@OTT,2018-06-21,2018,1,CFL,SSK,OTT,,,18.0,3.0,3.0,26.0,30.0,1.0,6.0,6.0
FOOTBALL_CFL_2018_7_5_HAM@SSK,2018-07-05,2018,1,CFL,HAM,SSK,,,6.0,1.0,1.0,3.0,6.0,,,
FOOTBALL_CFL_2018_8_25_SSK@BC,2018-08-25,2018,1,CFL,SSK,BC,1.0,1.0,,,,,,,,
FOOTBALL_CFL_2018_9_22_SSK@TOR,2018-09-22,2018,1,CFL,SSK,TOR,,,8.0,2.0,2.0,6.0,9.0,,,
FOOTBALL_CFL_2018_9_30_SSK@MTL,2018-09-30,2018,1,CFL,SSK,MTL,1.0,1.0,,,,,,,,
FOOTBALL_CFL_2019_10_12_MTL@WPG,2019-10-12,2019,1,CFL,MTL,WPG,,,3.0,1.0,1.0,3.0,3.0,,,
FOOTBALL_CFL_2019_6_14_MTL@EDM,2019-06-14,2019,1,CFL,MTL,EDM,,,,,1.0,,,,,
FOOTBALL_CFL_2019_7_13_MTL@OTT,2019-07-13,2019,1,CFL,MTL,OTT,,,5.0,2.0,3.0,4.0,9.0,,,
FOOTBALL_CFL_2019_8_9_SSK@MTL,2019-08-09,2019,1,CFL,SSK,MTL,,,19.0,4.0,5.0,30.0,42.0,,,
