game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,8.0,1.0,3.0,7.0,2.0,68.0,2.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,11.0,,,12.0,3.0,113.0,,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,8.0,12.0,,,16.0,1.0,190.0,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,6.0,9.0,,,9.0,1.0,100.0,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,2.0,12.0,,,11.0,1.0,94.0,3.0,1.0,5.0
