game_id,date,season,week,league,away,home,assist_tackles,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,sacks,shots,shots_on_target,solo_tackles,tackles,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,,,,,,,,,,,,,,,,1.0,,,3.0,3.0,,,,,,
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,4.0,,,,,,,,,,,,,,,,,,3.0,7.0,,,,,,
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,
soccer-nwsl-2023-aDQ0lzvQEv,,2023,1,NWSL,,,,0.0,0.0,22.2279,8.5216,0.0,-0.0984,0.0,0.0,121.0,0.6939,49.0,-2.5858,-5.2771,0.0,,1.0,0.0,,,0.0,0.0984,-0.0984,0.0984,0.7466,0.0808
soccer-usls-2025-26-7vQ7dBYMD1,,2025,1,USLS,,,,1.0,0.1411,23.3648,12.8423,1.0,-0.7258,2.0,6.0,2219.0,0.6625,1037.0,-56.216,-5.421,0.4384,,11.0,5.0,,,0.8589,1.7258,0.3345,2.5847,0.7167,1.193
