game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions
3,2024-03-31,2024,1,UFL,BRAHMAS,DEFENDERS,0.0,87.0,4.0
8,2024-04-07,2024,2,UFL,DEFENDERS,ROUGHNECKS,1.0,17.0,1.0
9,2024-04-13,2024,3,UFL,RENEGADES,DEFENDERS,0.0,48.0,3.0
14,2024-04-20,2024,4,UFL,STALLIONS,DEFENDERS,0.0,0.0,0.0
24,2024-05-05,2024,6,UFL,DEFENDERS,BRAHMAS,0.0,23.0,1.0
27,2024-05-12,2024,7,UFL,DEFENDERS,PANTHERS,1.0,87.0,2.0
31,2024-05-19,2024,8,UFL,BATTLEHAWKS,DEFENDERS,1.0,69.0,6.0
35,2024-05-26,2024,9,UFL,SHOWBOATS,DEFENDERS,0.0,52.0,3.0
39,2024-06-02,2024,10,UFL,DEFENDERS,RENEGADES,0.0,35.0,5.0
46,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,0.0,61.0,5.0
48,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,0.0,59.0,5.0
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,1.0,85.0,3.0
88,2026-03-28,2026,1,UFL,DC DEFENDERS,ST. LOUIS BATTLEHAWKS,0.0,35.0,2.0
91,2026-04-03,2026,2,UFL,DC DEFENDERS,COLUMBUS AVIATORS,0.0,0.0,0.0
96,2026-04-11,2026,3,UFL,HOUSTON GAMBLERS,DC DEFENDERS,0.0,49.0,4.0
101,2026-04-18,2026,4,UFL,ST. LOUIS BATTLEHAWKS,DC DEFENDERS,1.0,3.0,1.0
103,2026-04-24,2026,5,UFL,DC DEFENDERS,BIRMINGHAM STALLIONS,2.0,84.0,3.0
109,2026-05-02,2026,6,UFL,DALLAS RENEGADES,DC DEFENDERS,0.0,38.0,4.0
112,2026-05-09,2026,7,UFL,LOUISVILLE KINGS,DC DEFENDERS,1.0,78.0,5.0
116,2026-05-16,2026,8,UFL,DC DEFENDERS,LOUISVILLE KINGS,1.0,41.0,1.0
