game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,5.0,15.0,112.0,65.0,5.0,2.0,352.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,5.0,11.0,69.0,33.0,5.0,1.0,142.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,3.0,3.0,21.0,5.0,3.0,,7.0
