game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,sacks,score_conv,score_pts,tackles
FOOTBALL_CFL_2021_10_29_HAM@EDM,2021-10-29,2021,1,CFL,HAM,EDM,,,,,,,48.0,1.0,2.0,21.0,48.0,,,,
FOOTBALL_CFL_2021_11_20_SSK@HAM,2021-11-20,2021,1,CFL,SSK,HAM,,,,,,,8.0,1.0,1.0,4.0,8.0,,,,
FOOTBALL_CFL_2022_10_14_HAM@CGY,2022-10-14,2022,1,CFL,HAM,CGY,,,,,,,9.0,1.0,1.0,9.0,9.0,,,,
FOOTBALL_CFL_2022_10_21_OTT@HAM,2022-10-21,2022,1,CFL,OTT,HAM,1.0,1.0,,,,,3.0,1.0,2.0,,3.0,,1.0,2.0,
FOOTBALL_CFL_2022_10_29_HAM@OTT,2022-10-29,2022,1,CFL,HAM,OTT,,,,,,,15.0,2.0,2.0,12.0,28.0,,,,
FOOTBALL_CFL_2022_11_6_HAM@MTL,2022-11-06,2022,1,CFL,HAM,MTL,,,,,,,6.0,1.0,3.0,6.0,6.0,,,,
FOOTBALL_CFL_2022_7_16_OTT@HAM,2022-07-16,2022,1,CFL,OTT,HAM,,,,,,,18.0,2.0,3.0,1.0,30.0,,,,
FOOTBALL_CFL_2022_7_1_EDM@HAM,2022-07-01,2022,1,CFL,EDM,HAM,,,,,,,9.0,1.0,2.0,,9.0,,,,
FOOTBALL_CFL_2022_7_21_HAM@BC,2022-07-21,2022,1,CFL,HAM,BC,,,,,,,11.0,2.0,2.0,4.0,21.0,,,,
FOOTBALL_CFL_2022_7_28_MTL@HAM,2022-07-28,2022,1,CFL,MTL,HAM,,,,,,,35.0,3.0,3.0,2.0,47.0,,,,
FOOTBALL_CFL_2022_9_23_HAM@MTL,2022-09-23,2022,1,CFL,HAM,MTL,,,,,,,20.0,2.0,2.0,15.0,36.0,,,,
SYNTHETIC_CFL_2022_W4_HAM,,2022,4,CFL,,,,,,0.0,9.0,1.0,,,,,,,,,
6233,2022-07-16,2022,6,CFL,OTT,HAM,,,,0.0,30.0,2.0,,,,,,,,,
6235,2022-07-21,2022,7,CFL,HAM,BC,,,,0.0,21.0,2.0,,,,,,,,,
6238,2022-07-28,2022,8,CFL,MTL,HAM,,,,0.0,47.0,3.0,,,,,,,,,
6269,2022-09-23,2022,16,CFL,HAM,MTL,,,,0.0,36.0,2.0,,,,,,,,,
6281,2022-10-14,2022,19,CFL,HAM,CGY,,,,0.0,9.0,1.0,,,,,,,,,
6284,2022-10-21,2022,20,CFL,OTT,HAM,,,,0.0,3.0,1.0,,,,,,,,,
9889284,2023-06-09,2023,1,CFL,HAM,WPG,,,,0.0,18.0,2.0,,,,,,,,,
9889290,2023-06-18,2023,2,CFL,HAM,TOR,,,,,19.0,4.0,,,,,,,,,
9889292,2023-06-23,2023,3,CFL,MTL,HAM,,,,0.0,0.0,0.0,,,,,,,,,
9889345,2023-09-23,2023,16,CFL,HAM,TOR,,,0.0,,,,,,,,,0.0,,,0.0
9889349,2023-09-30,2023,17,CFL,CGY,HAM,,,0.0,,,,,,,,,0.0,,,0.0
10798143,2024-05-25,2024,2,CFL,OTT,HAM,,,,0.0,5.0,1.0,,,,,,,,,
10798027,2024-06-23,2024,3,CFL,HAM,SSK,,,,0.0,5.0,1.0,,,,,,,,,
10798049,2024-08-02,2024,9,CFL,MTL,HAM,,,,0.0,14.0,1.0,,,,,,,,,
10798080,2024-09-27,2024,17,CFL,HAM,BC,,,,0.0,33.0,2.0,,,,,,,,,
10798090,2024-10-18,2024,20,CFL,CGY,HAM,,,,0.0,10.0,1.0,,,,,,,,,
10798093,2024-10-25,2024,21,CFL,HAM,OTT,,,,0.0,0.0,0.0,,,,,,,,,
11824052,2025-06-14,2025,2,CFL,SSK,HAM,,,,0.0,36.0,2.0,,,,,,,,,
11824058,2025-06-27,2025,4,CFL,MTL,HAM,,,,0.0,11.0,1.0,,,,,,,,,
11824062,2025-07-04,2025,5,CFL,HAM,TOR,,,,1.0,22.0,2.0,,,,,,,,,
11824066,2025-07-12,2025,6,CFL,OTT,HAM,,,,0.0,6.0,1.0,,,,,,,,,
11824071,2025-07-20,2025,7,CFL,HAM,OTT,,,,0.0,9.0,1.0,,,,,,,,,
11824096,2025-09-06,2025,14,CFL,HAM,MTL,,,,0.0,16.0,2.0,,,,,,,,,
11824106,2025-09-20,2025,16,CFL,EDM,HAM,,,,,7.0,1.0,,,,,,,,,
11824109,2025-09-27,2025,17,CFL,HAM,WPG,,,,0.0,12.0,1.0,,,,,,,,,
