game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_yds
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,5.0,11.0,1.0,105.0,13.0,5.0,43.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,8.0,31.0,,309.0,6.0,8.0,13.0
