game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_14_OTT@HAM,2016-10-14,2016,1,CFL,OTT,HAM,,,,,,29.0,1.0,29.0,,,,,,,
FOOTBALL_CFL_2016_10_21_HAM@OTT,2016-10-21,2016,1,CFL,HAM,OTT,,,,,,,,,2.0,5.0,,9.0,,,
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,,,1.0,,,,,,1.0,13.0,,13.0,,,
FOOTBALL_CFL_2016_11_27_CGY@OTT,2016-11-27,2016,1,CFL,CGY,OTT,9.0,1.0,1.0,9.0,9.0,18.0,1.0,18.0,6.0,13.0,,36.0,,,
FOOTBALL_CFL_2016_11_4_WPG@OTT,2016-11-04,2016,1,CFL,WPG,OTT,8.0,3.0,3.0,14.0,14.0,21.0,1.0,21.0,15.0,,1.0,96.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,19.0,4.0,7.0,40.0,44.0,,,,12.0,14.0,,47.0,,,
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,35.0,3.0,4.0,40.0,33.0,,,,12.0,28.0,,86.0,,,
FOOTBALL_CFL_2016_8_25_BC@OTT,2016-08-25,2016,1,CFL,BC,OTT,13.0,6.0,7.0,21.0,28.0,,,,12.0,9.0,1.0,52.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,5.0,1.0,2.0,5.0,5.0,19.0,2.0,33.0,16.0,11.0,,56.0,,,
FOOTBALL_CFL_2016_9_1_OTT@MTL,2016-09-01,2016,1,CFL,OTT,MTL,13.0,2.0,4.0,13.0,13.0,,,,11.0,11.0,,63.0,,,
FOOTBALL_CFL_2018_11_2_TOR@OTT,2018-11-02,2018,1,CFL,TOR,OTT,25.0,3.0,3.0,33.0,34.0,21.0,1.0,21.0,,,,,,,
FOOTBALL_CFL_2018_8_4_BC@CGY,2018-08-04,2018,1,CFL,BC,CGY,7.0,1.0,2.0,7.0,7.0,22.0,5.0,85.0,,,,,,,
FOOTBALL_CFL_2018_8_9_EDM@BC,2018-08-09,2018,1,CFL,EDM,BC,19.0,3.0,3.0,26.0,34.0,48.0,2.0,71.0,8.0,11.0,1.0,38.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_9_7_OTT@BC,2018-09-07,2018,1,CFL,OTT,BC,,,,,,22.0,2.0,40.0,2.0,5.0,,5.0,,,
