game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,27.0,12.0,16.0,4.0,43.0,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,30.0,18.0,12.0,2.0,42.0,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,17.0,9.0,7.0,,24.0,3.0,1.0
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,34.0,18.0,21.0,,55.0,10.0,6.0
