game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot
FOOTBALL_CFL_2018_6_14_EDM@WPG,2018-06-14,2018,1,CFL,EDM,WPG,,8.0,10.0,1.0,81.0,176.0,1.0,-4.0,-4.0,1.0,6.0,1.0
FOOTBALL_CFL_2018_6_22_HAM@EDM,2018-06-22,2018,1,CFL,HAM,EDM,14.0,6.0,8.0,1.0,23.0,56.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_6_29_BC@EDM,2018-06-29,2018,1,CFL,BC,EDM,25.0,5.0,6.0,,33.0,67.0,,,,,,
FOOTBALL_CFL_2018_7_13_TOR@EDM,2018-07-13,2018,1,CFL,TOR,EDM,13.0,4.0,7.0,,15.0,36.0,,,,,,
FOOTBALL_CFL_2018_7_26_EDM@MTL,2018-07-26,2018,1,CFL,EDM,MTL,,4.0,6.0,1.0,21.0,77.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_7_7_EDM@TOR,2018-07-07,2018,1,CFL,EDM,TOR,,4.0,6.0,1.0,19.0,51.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_8_18_MTL@EDM,2018-08-18,2018,1,CFL,MTL,EDM,34.0,5.0,6.0,,44.0,82.0,,,,,,
FOOTBALL_CFL_2018_8_23_EDM@HAM,2018-08-23,2018,1,CFL,EDM,HAM,,4.0,6.0,2.0,17.0,59.0,,,,2.0,12.0,2.0
FOOTBALL_CFL_2018_8_2_SSK@EDM,2018-08-02,2018,1,CFL,SSK,EDM,61.0,6.0,10.0,1.0,54.0,154.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_8_9_EDM@BC,2018-08-09,2018,1,CFL,EDM,BC,51.0,5.0,8.0,1.0,25.0,117.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_9_3_EDM@CGY,2018-09-03,2018,1,CFL,EDM,CGY,,,1.0,,,,,,,,,
