game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,2.0,1.0,6.0,2.0,93.0,12.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,2.0,,,6.0,115.0,11.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,1.0,2.0,5.0,2.0,130.0,11.0,1.0,2.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,,1.0,2.5,35.0,9.0,,
