game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,targets
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,,12.0,1.0,
FOOTBALL_XFL_2020_2_23_NY@STL,2020-02-23,2020,3,XFL,NY,STL,,24.0,3.0,1.0
FOOTBALL_XFL_2020_2_29_LA@NY,2020-02-29,2020,4,XFL,LA,NY,,20.0,1.0,1.0
FOOTBALL_XFL_2020_3_7_NY@DAL,2020-03-07,2020,5,XFL,NY,DAL,,46.0,3.0,2.0
SYNTHETIC_USFL_2022_W3_HOU,,2022,3,USFL,,,0.0,10.0,1.0,
SYNTHETIC_USFL_2022_W5_HOU,,2022,5,USFL,,,0.0,36.0,1.0,
SYNTHETIC_USFL_2022_W6_HOU,,2022,6,USFL,,,1.0,76.0,3.0,
SYNTHETIC_USFL_2022_W7_HOU,,2022,7,USFL,,,0.0,58.0,4.0,
SYNTHETIC_USFL_2022_W8_HOU,,2022,8,USFL,,,0.0,44.0,5.0,
SYNTHETIC_USFL_2022_W9_HOU,,2022,9,USFL,,,0.0,0.0,0.0,
SYNTHETIC_USFL_2022_W10_HOU,,2022,10,USFL,,,0.0,25.0,3.0,
SYNTHETIC_USFL_2023_W1_GAMBLERS,2023-04-16,2023,1,USFL,GAMBLERS,PANTHERS,0.0,18.0,2.0,
SYNTHETIC_USFL_2023_W3_GAMBLERS,2023-04-29,2023,3,USFL,GAMBLERS,SHOWBOATS,0.0,0.0,0.0,
SYNTHETIC_USFL_2023_W4_GAMBLERS,2023-05-06,2023,4,USFL,STARS,GAMBLERS,0.0,34.0,2.0,
SYNTHETIC_USFL_2023_W6_GAMBLERS,2023-05-21,2023,6,USFL,GAMBLERS,GENERALS,0.0,0.0,0.0,
SYNTHETIC_USFL_2023_W7_GAMBLERS,2023-05-28,2023,7,USFL,SHOWBOATS,GAMBLERS,0.0,57.0,5.0,
SYNTHETIC_USFL_2023_W9_GAMBLERS,2023-06-11,2023,9,USFL,GAMBLERS,STALLIONS,0.0,12.0,2.0,
SYNTHETIC_USFL_2023_W10_GAMBLERS,2023-06-18,2023,10,USFL,GAMBLERS,BREAKERS,0.0,35.0,2.0,
SYNTHETIC_50YARD_2026_W2_ORLANDOPIRATES,2026-05-09,2026,2,50YARD,Fishers Freight,Orlando Pirates,1.0,65.0,8.0,
