game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_yds,rush_att,rush_gp,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,,,,2.0,18.0,9.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,14.0,8.0,69.0,7.0,14.0,43.0
