game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals
NLL_2019_SEASON_TOTAL,,,1,,,,11.0,10.0,14.0,8.0,25.0,,
NLL_2021_SEASON_TOTAL,,,1,,,,17.0,17.0,34.0,17.0,51.0,,
NLL_2022_SEASON_TOTAL,,,1,,,,17.0,16.0,22.0,9.0,39.0,5.0,12.0
NLL_2023_SEASON_TOTAL,,,1,,,,16.0,18.0,24.0,4.0,40.0,1.0,6.0
