game_id,date,season,week,league,away,home,def_int,def_lg,def_solo,def_tot,def_yds,interceptions_made,sacks,tackles
FOOTBALL_CFL_2019_10_11_OTT@TOR,2019-10-11,2019,1,CFL,OTT,TOR,,,3.0,3.0,,,,
FOOTBALL_CFL_2019_10_19_OTT@HAM,2019-10-19,2019,1,CFL,OTT,HAM,,,2.0,2.0,,,,
FOOTBALL_CFL_2019_10_26_OTT@TOR,2019-10-26,2019,1,CFL,OTT,TOR,,,6.0,6.0,,,,
FOOTBALL_CFL_2019_11_1_MTL@OTT,2019-11-01,2019,1,CFL,MTL,OTT,,,1.0,1.0,,,,
FOOTBALL_CFL_2021_10_11_OTT@MTL,2021-10-11,2021,1,CFL,OTT,MTL,1.0,,1.0,1.0,,,,
FOOTBALL_CFL_2021_10_16_MTL@OTT,2021-10-16,2021,1,CFL,MTL,OTT,,,1.0,1.0,,,,
FOOTBALL_CFL_2021_10_23_OTT@HAM,2021-10-23,2021,1,CFL,OTT,HAM,,,1.0,1.0,,,,
FOOTBALL_CFL_2021_10_29_CGY@OTT,2021-10-29,2021,1,CFL,CGY,OTT,,,1.0,1.0,,,,
FOOTBALL_CFL_2021_10_6_OTT@TOR,2021-10-06,2021,1,CFL,OTT,TOR,1.0,19.0,1.0,1.0,19.0,,,
FOOTBALL_CFL_2021_11_6_TOR@OTT,2021-11-06,2021,1,CFL,TOR,OTT,1.0,,5.0,5.0,,,,
FOOTBALL_CFL_2021_9_28_EDM@OTT,2021-09-28,2021,1,CFL,EDM,OTT,1.0,,1.0,1.0,,,,
9889285,2023-06-10,2023,1,CFL,OTT,MTL,,,,,,,,2.0
9889287,2023-06-15,2023,2,CFL,CGY,OTT,,,,,,,,2.0
9889329,2023-08-27,2023,12,CFL,OTT,EDM,,,,,,0.0,0.0,1.0
9889334,2023-09-08,2023,14,CFL,HAM,OTT,,,,,,0.0,0.0,1.0
9889341,2023-09-16,2023,15,CFL,OTT,BC,,,,,,0.0,0.0,3.0
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,,,,,0.0,0.0,2.0
9889348,2023-09-30,2023,17,CFL,MTL,OTT,,,,,,0.0,0.0,3.0
9889353,2023-10-09,2023,18,CFL,OTT,MTL,,,,,,1.0,0.0,1.0
