game_id,date,season,week,league,away,home,3pt_pass,blocked_punt,conversions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,rushing_tds,rushing_yards,sacks
87,2026-03-27,2026,1,UFL,BIRMINGHAM STALLIONS,LOUISVILLE KINGS,,,,,,31.0,1.0,0.0,2.0,1.0,1.0,208.0,13.0,0.0,3.0,1.0
93,2026-04-05,2026,2,UFL,BIRMINGHAM STALLIONS,HOUSTON GAMBLERS,,,,,2.0,,1.0,2.0,0.0,,2.0,226.0,22.0,0.0,8.0,0.0
98,2026-04-12,2026,3,UFL,BIRMINGHAM STALLIONS,ST. LOUIS BATTLEHAWKS,,,,1.0,3.0,34.0,,2.0,3.0,,2.0,252.0,28.0,0.0,-1.0,4.0
102,2026-04-18,2026,4,UFL,ORLANDO STORM,BIRMINGHAM STALLIONS,,,,,1.0,,,0.0,0.0,1.0,0.0,143.0,16.0,0.0,0.0,2.0
103,2026-04-24,2026,5,UFL,DC DEFENDERS,BIRMINGHAM STALLIONS,1.0,,,,5.0,,,2.0,0.0,,2.0,313.0,45.0,1.0,43.0,2.0
110,2026-05-03,2026,6,UFL,BIRMINGHAM STALLIONS,ORLANDO STORM,,,,,2.0,86.0,3.0,0.0,0.0,,1.0,271.0,17.0,0.0,12.0,0.0
113,2026-05-09,2026,7,UFL,DALLAS RENEGADES,BIRMINGHAM STALLIONS,,1.0,2.0,,2.0,40.0,,1.0,0.0,,2.0,159.0,17.0,0.0,4.0,2.0
118,2026-05-17,2026,8,UFL,COLLUMBUS AVIATORS,BIRMINGHAM STALLIONS,,,,,2.0,,,,,,,,,,,
