game_id,date,season,week,league,away,home,2_pointer,3_pointer,4_pointer,assist,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,blockedShot,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,rebound,shots,shots_on_target,steal,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
2452439,,,1,,,,4.0,3.0,0.0,1.0,,,,,0.0,,,,,,,,,,,2.0,,,0.0,,,,,,
2457577,,,2,,,,2.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,1.0,,,0.0,,,,,,
2463135,,,3,,,,2.0,2.0,0.0,0.0,,,,,0.0,,,,,,,,,,,1.0,,,1.0,,,,,,
2463413,2022-07-08,,4,BIG3,Ghost Ballers,Killer 3s,1.0,1.0,0.0,2.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,
2463420,2022-07-17,,5,BIG3,Ghost Ballers,3s Company,8.0,5.0,0.0,0.0,,,,,0.0,,,,,,,,,,,2.0,,,1.0,,,,,,
2464827,2022-07-23,,6,BIG3,Triplets,Ghost Ballers,4.0,3.0,0.0,3.0,,,,,0.0,,,,,,,,,,,3.0,,,0.0,,,,,,
soccer-mls-2013-YgOMngl5wN,,2013,1,MLS,,,,,,,1.0,0.5459,24.658,8.9872,,0.0,-0.4836,1.0,7.0,2296.0,0.8218,1010.0,-10.7266,-1.062,0.0,,8.0,0.0,,0.4541,0.4836,-0.4836,0.9377,0.8324,0.4456
soccer-mls-2014-YgOMngl5wN,,2014,1,MLS,,,,,,,0.0,-0.4859,23.6603,7.7507,,0.0,-1.2338,0.0,5.0,2175.0,0.8117,1009.0,-11.966,-1.1859,0.0,,9.0,0.0,,0.4859,1.2338,-1.2338,1.7197,0.8236,0.7501
soccer-mls-2015-YgOMngl5wN,,2015,1,MLS,,,,,,,1.0,0.5312,26.2873,12.3659,,0.0,-0.2316,1.0,4.0,1550.0,0.7809,671.0,13.8704,2.0671,0.0,,3.0,0.0,,0.4688,0.2316,-0.2316,0.7005,0.7603,0.1625
soccer-mls-2016-WBLMvYAQxe,,2016,1,MLS,,,,,,,2.0,0.6534,23.072,8.6679,,0.0,-0.3831,2.0,11.0,2007.0,0.7855,811.0,5.8991,0.7274,0.0,,9.0,2.0,,1.3466,0.3831,-0.2391,1.7297,0.7782,0.2129
soccer-mls-2017-kRQand1MKZ,,2017,1,MLS,,,,,,,0.0,-0.0973,19.3959,7.3577,,0.0,-0.2777,0.0,3.0,756.0,0.805,359.0,12.6366,3.5199,0.0,,4.0,1.0,,0.0973,0.2777,0.2883,0.375,0.7698,0.1949
soccer-uslc-2019-0x5gJawM7O,,2019,1,USLC,,,,,,,2.0,1.6517,23.2456,10.2601,,0.0,-0.813,2.0,4.0,3304.0,0.8342,1381.0,62.8808,4.5533,0.0,,10.0,1.0,,0.3483,0.813,-0.0941,1.1613,0.7886,0.3124
soccer-uslc-2020-0x5gJawM7O,,2020,1,USLC,,,,,,,0.0,-0.0577,23.3237,9.6893,,0.0,-0.5912,0.0,2.0,1573.0,0.8317,707.0,7.362,1.0413,0.0,,6.0,1.0,,0.0577,0.5912,-0.146,0.649,0.8213,0.4344
soccer-uslc-2021-0x5gJawM7O,,2021,1,USLC,,,,,,,0.0,-0.0945,24.6128,10.3926,,0.0,0.0,0.0,3.0,1392.0,0.8183,578.0,6.0643,1.0492,0.0,,0.0,0.0,,0.0945,0.0,0.0,0.0945,0.8078,0.0
2559391,2023-07-01,2023,2,BIG3,3 HEADED MONSTERS,BIVOUAC,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,2.0,,,0.0,,,,,,
2559397,2023-07-09,2023,3,BIG3,3 HEADED MONSTERS,3\'s COMPANY,1.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,1.0,,,1.0,,,,,,
2559398,2023-07-15,2023,4,BIG3,3 HEADED MONSTERS,TRILOGY,0.0,0.0,0.0,1.0,,,,,0.0,,,,,,,,,,,2.0,,,0.0,,,,,,
2559412,2023-07-23,2023,5,BIG3,3 HEADED MONSTERS,BALL HOGS,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,
2559420,2023-07-30,2023,6,BIG3,3 HEADED MONSTERS,GHOST BALLERS,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,
