game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,pr_no,pr_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,2.0,1.0,1.0,1.0,49.0,10.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,1.0,,1.0,5.0,43.0,11.0,1.0,30.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,2.0,2.0,49.0,11.0,1.0,18.0
