game_id,date,season,week,league,away,home,fg_att,fg_made,gp,pat_att,pat_made,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,11.0,,,16.0,3.0,266.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,1.0,10.0,7.0,5.0,,,
