game_id,date,season,week,league,away,home,1pt_conversion,assisted_tackles,completion_pct,conversions,fumble_recoveries,fumble_recovery_yards,interceptions,interceptions_lost,lost_fumbles,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_tds,passing_yards,passing_yds_lost,pat_made,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,recv_td,rush_avg,rush_long,rush_td,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,solo_tackles,tackles
SYNTHETIC_USFL_2022_W1_MICH,,2022,1,USFL,,,,,,,,,,1.0,1.0,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,0.0,14.0,,
SYNTHETIC_USFL_2022_W3_MICH,,2022,3,USFL,,,,,,1.0,,,,0.0,,,,,,,,,,,0.0,23.0,,,,,,,,,,,,,,1.0,21.0,,
SYNTHETIC_USFL_2022_W8_MICH,,2022,8,USFL,,,,,,,,,,2.0,1.0,,,,,,,,,,2.0,251.0,,,,,,,,,,,,,,1.0,20.0,,
SYNTHETIC_USFL_2022_W10_MICH,,2022,10,USFL,,,,,,,,,,1.0,0.0,,,,,,,,,,3.0,275.0,,,,,,,,,,,,,,0.0,19.0,,
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,,,,,,1.0,,,,,,,,,,,1.0,136.0,,,,,,,,,,,,,,,,,
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,GUARDIANS,BRAHMAS,,,,,,,,,,,,,,,,,,,1.0,79.0,,,,,,,,,,,,,,,9.0,,
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,RENEGADES,GUARDIANS,,,,,,,,,,,,,,,,,,,,219.0,,,,,,,,,,,,,,1.0,43.0,,
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,GUARDIANS,ROUGHNECKS,,,,,,,,,1.0,,,,,,,,,,2.0,267.0,,,,,,,1.0,,,,,,,,,,
FOOTBALL_XFL_2023_3_18_ORL@VGS,2023-03-18,2023,5,XFL,ORL,VGS,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,16.0,,
FOOTBALL_UFL_2025_4_6_SA@STL,2025-04-06,2025,2,UFL,SA,STL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
FOOTBALL_UFL_2025_5_10_DC@SA,2025-05-10,2025,7,UFL,DC,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
FOOTBALL_UFL_2025_5_17_MEM@SA,2025-05-17,2025,8,UFL,MEM,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
FOOTBALL_UFL_2025_5_24_STL@SA,2025-05-24,2025,9,UFL,STL,SA,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,
FOOTBALL_NAL_2026_3_7_T570667G1127138@T577047,2026-03-08,2026,1,NAL,Colorado Spartans,Pueblo Punishers,,,657.0,,,,1.0,,,35.0,23.0,12.0,31.0,9.0,109.0,0.0,4.0,114.0,,215.0,0.0,,,,,,,,3.0,7.0,,6.0,0.0,1.0,20.0,,
FOOTBALL_UFL_2026_3_30_CLB@ORL,2026-03-30,2026,1,UFL,CLB,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
FOOTBALL_NAL_2026_3_14_T570667G1127141@T581933,2026-03-15,2026,2,NAL,Colorado Spartans,Dallas Bulls,,,813.0,,,,1.0,,,16.0,13.0,3.0,21.0,9.0,110.0,0.0,2.0,125.0,,114.0,0.0,,,,,,,,4.0,8.0,,6.0,0.0,2.0,24.0,,
FOOTBALL_UFL_2026_4_11_ORL@LOU,2026-04-11,2026,3,UFL,ORL,LOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
FOOTBALL_IFL_2026_4_4_TGREENBAYBLIZZARDG2026040443LQ@TIOWABARNSTORMERS,2026-04-04,2026,4,IFL,Green Bay Blizzard,Iowa Barnstormers,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,1.0,8.0,1.0,,3.0,5.0,,2.0,,0.0,6.0,,
FOOTBALL_NAL_2026_3_28_T570667G1127147@T600411,2026-03-28,2026,4,NAL,Colorado Spartans,Salina Liberty,,,529.0,,,,1.0,,,17.0,9.0,8.0,25.0,9.0,81.0,0.0,2.0,118.0,,84.0,0.0,,,,,,,,5.0,5.0,,2.0,0.0,0.0,10.0,,
FOOTBALL_IFL_2026_5_16_TGREENBAYBLIZZARDG202605163ZVX@TTULSAOILERS,2026-05-16,2026,10,IFL,Green Bay Blizzard,Tulsa Oilers,,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,7.0,10.0,0.0,21.0,3.0,,4.4,11.0,,10.0,,1.0,44.0,1.0,1.0
