game_id,date,season,week,league,away,home,def_sack,def_solo,def_tot,def_ydsl
FOOTBALL_CFL_2021_10_29_CGY@OTT,2021-10-29,2021,1,CFL,CGY,OTT,,3.0,3.0,
FOOTBALL_CFL_2022_10_10_OTT@MTL,2022-10-10,2022,1,CFL,OTT,MTL,,1.0,1.0,
FOOTBALL_CFL_2022_10_14_MTL@OTT,2022-10-14,2022,1,CFL,MTL,OTT,2.0,2.0,2.0,12.0
FOOTBALL_CFL_2022_10_21_OTT@HAM,2022-10-21,2022,1,CFL,OTT,HAM,,1.0,1.0,
FOOTBALL_CFL_2022_10_29_HAM@OTT,2022-10-29,2022,1,CFL,HAM,OTT,,1.0,1.0,
FOOTBALL_CFL_2022_6_10_OTT@WPG,2022-06-10,2022,1,CFL,OTT,WPG,,2.0,2.0,
FOOTBALL_CFL_2022_6_17_WPG@OTT,2022-06-17,2022,1,CFL,WPG,OTT,1.0,2.0,2.0,8.0
FOOTBALL_CFL_2022_7_16_OTT@HAM,2022-07-16,2022,1,CFL,OTT,HAM,,2.0,2.0,
FOOTBALL_CFL_2022_7_21_MTL@OTT,2022-07-21,2022,1,CFL,MTL,OTT,,1.0,1.0,
FOOTBALL_CFL_2022_7_8_OTT@SSK,2022-07-08,2022,1,CFL,OTT,SSK,1.0,2.0,2.0,11.0
FOOTBALL_CFL_2022_9_10_TOR@OTT,2022-09-10,2022,1,CFL,TOR,OTT,,2.0,2.0,
FOOTBALL_CFL_2022_9_24_TOR@OTT,2022-09-24,2022,1,CFL,TOR,OTT,1.0,2.0,2.0,4.0
FOOTBALL_CFL_2022_9_30_OTT@BC,2022-09-30,2022,1,CFL,OTT,BC,,3.0,3.0,
