game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,10.0,,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,9.0,14.0,1.0,158.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,14.0,9.0,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,6.0,7.0,,55.0
