game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,conversions,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds
FOOTBALL_CFL_2022_7_21_HAM@BC,2022-07-21,2022,1,CFL,HAM,BC,,,,1.0,1.0,,,,12.0,3.0,5.0,8.0,30.0
6235,2022-07-21,2022,7,CFL,HAM,BC,,,,,,0.0,30.0,3.0,,,,,
4,2024-03-31,2024,1,UFL,ROUGHNECKS,SHOWBOATS,,,,,,0.0,13.0,1.0,,,,,
8,2024-04-07,2024,2,UFL,DEFENDERS,ROUGHNECKS,,,,,,0.0,34.0,2.0,,,,,
11,2024-04-14,2024,3,UFL,PANTHERS,ROUGHNECKS,,,1.0,,,0.0,63.0,3.0,,,,,
16,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,,,,,,1.0,12.0,2.0,,,,,
18,2024-04-27,2024,5,UFL,ROUGHNECKS,STALLIONS,,,,,,0.0,4.0,1.0,,,,,
22,2024-05-04,2024,6,UFL,BATTLEHAWKS,ROUGHNECKS,,,,,,0.0,12.0,1.0,,,,,
28,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,,,,,,0.0,14.0,1.0,,,,,
30,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,,,,,,0.0,12.0,1.0,,,,,
36,2024-05-26,2024,9,UFL,ROUGHNECKS,PANTHERS,,,,,,0.0,48.0,2.0,,,,,
40,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,,,,,,0.0,26.0,2.0,,,,,
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,,,,,0.0,16.0,1.0,,,,,
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,,,,,1.0,17.0,1.0,,,,,
52,2025-04-12,2025,3,UFL,SHOWBOATS,ROUGHNECKS,,,,,,1.0,6.0,1.0,,,,,
61,2025-04-27,2025,5,UFL,BRAHMAS,ROUGHNECKS,,1.0,,,,0.0,10.0,1.0,,,,,
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,,,,,0.0,31.0,1.0,,,,,
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,,,,,0.0,55.0,4.0,,,,,
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,1.0,,,,,0.0,24.0,2.0,,,,,
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,,,,,,0.0,41.0,1.0,,,,,
89,2026-03-28,2026,1,UFL,HOUSTON GAMBLERS,DALLAS RENEGADES,,,,,,0.0,27.0,1.0,,,,,
97,2026-04-12,2026,3,UFL,COLUMBUS AVIATORS,DALLAS RENEGADES,,,,,,1.0,22.0,2.0,,,,,
100,2026-04-17,2026,4,UFL,DALLAS RENEGADES,COLUMBUS AVIATORS,,,,,,1.0,7.0,1.0,,,,,
106,2026-04-26,2026,5,UFL,LOUISVILLE KINGS,DALLAS RENEGADES,,,,,,1.0,35.0,2.0,,,,,
109,2026-05-02,2026,6,UFL,DALLAS RENEGADES,DC DEFENDERS,,,,,,0.0,0.0,0.0,,,,,
113,2026-05-09,2026,7,UFL,DALLAS RENEGADES,BIRMINGHAM STALLIONS,,,,,,0.0,8.0,1.0,,,,,
