game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,throwAttempts,yardsReceived,yardsThrown
2023-06-03-CHI-MIN,2023-06-03,2023,6,,CHI,MIN,1.0,1.0,2.0,2.0,,,2.0,5.0,21.0
2023-06-10-CHI-IND,2023-06-10,2023,7,,CHI,IND,,,4.0,5.0,,,5.0,-9.0,43.0
2023-06-17-POR-CHI,2023-06-17,2023,8,,POR,CHI,1.0,,7.0,8.0,,,8.0,28.0,18.0
2023-06-23-DET-CHI,2023-06-23,2023,9,,DET,CHI,1.0,1.0,7.0,8.0,1.0,1.0,8.0,-1.0,22.0
2023-07-07-CHI-PIT,2023-07-07,2023,11,,CHI,PIT,,0.0,,3.0,,,3.0,,35.0
2023-07-08-PIT-CHI,2023-07-08,2023,11,,PIT,CHI,1.0,,3.0,,,,,26.0,
2023-07-21-MAD-CHI,2023-07-21,2023,13,,MAD,CHI,,1.0,2.0,3.0,,1.0,3.0,3.0,20.0
