game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot
FOOTBALL_CFL_2017_10_13_CGY@HAM,2017-10-13,2017,1,CFL,CGY,HAM,1.0,1.0,33.0,6.0,12.0,,12.0,76.0,,,,,,,,,
FOOTBALL_CFL_2017_10_27_HAM@OTT,2017-10-27,2017,1,CFL,HAM,OTT,,,36.0,6.0,10.0,1.0,11.0,96.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_10_6_HAM@WPG,2017-10-06,2017,1,CFL,HAM,WPG,,,33.0,6.0,6.0,,38.0,94.0,,,,,,,,,
FOOTBALL_CFL_2017_11_3_MTL@HAM,2017-11-03,2017,1,CFL,MTL,HAM,,,42.0,7.0,9.0,,59.0,97.0,8.0,1.0,8.0,,,,,,
FOOTBALL_CFL_2017_7_15_BC@HAM,2017-07-15,2017,1,CFL,BC,HAM,,,60.0,5.0,9.0,1.0,9.0,147.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_7_20_EDM@HAM,2017-07-20,2017,1,CFL,EDM,HAM,,,16.0,4.0,8.0,,12.0,53.0,30.0,3.0,64.0,,,,,,
FOOTBALL_CFL_2017_7_29_HAM@CGY,2017-07-29,2017,1,CFL,HAM,CGY,,,14.0,4.0,6.0,,8.0,29.0,24.0,5.0,111.0,,,,,,
FOOTBALL_CFL_2017_7_8_HAM@SSK,2017-07-08,2017,1,CFL,HAM,SSK,,,20.0,6.0,9.0,,11.0,78.0,,,,1.0,1.0,1.0,,,
FOOTBALL_CFL_2017_8_12_WPG@HAM,2017-08-12,2017,1,CFL,WPG,HAM,1.0,1.0,12.0,4.0,5.0,,10.0,33.0,,,,,,,,,
FOOTBALL_CFL_2017_8_18_OTT@HAM,2017-08-18,2017,1,CFL,OTT,HAM,,,13.0,4.0,7.0,,22.0,40.0,,,,,,,,,
FOOTBALL_CFL_2017_8_4_HAM@EDM,2017-08-04,2017,1,CFL,HAM,EDM,1.0,1.0,36.0,3.0,4.0,1.0,-3.0,51.0,,,,1.0,11.0,11.0,1.0,6.0,1.0
FOOTBALL_CFL_2017_9_15_SSK@HAM,2017-09-15,2017,1,CFL,SSK,HAM,2.0,2.0,,10.0,14.0,1.0,47.0,138.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_9_22_HAM@BC,2017-09-22,2017,1,CFL,HAM,BC,,,,,3.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_30_TOR@HAM,2017-09-30,2017,1,CFL,TOR,HAM,,,38.0,5.0,7.0,,36.0,121.0,,,,,,,,,
FOOTBALL_CFL_2017_9_4_TOR@HAM,2017-09-04,2017,1,CFL,TOR,HAM,,,16.0,2.0,4.0,,13.0,29.0,,,,,,,,,
FOOTBALL_CFL_2017_9_9_HAM@OTT,2017-09-09,2017,1,CFL,HAM,OTT,,,32.0,4.0,8.0,,22.0,88.0,,,,,,,,,
FOOTBALL_CFL_2018_6_16_HAM@CGY,2018-06-16,2018,1,CFL,HAM,CGY,,,26.0,7.0,11.0,,15.0,118.0,,,,,,,,,
FOOTBALL_CFL_2018_6_22_HAM@EDM,2018-06-22,2018,1,CFL,HAM,EDM,,,23.0,3.0,4.0,,6.0,33.0,,,,,,,,,
FOOTBALL_CFL_2018_6_29_WPG@HAM,2018-06-29,2018,1,CFL,WPG,HAM,,,23.0,7.0,9.0,,20.0,97.0,,,,,,,,,
FOOTBALL_CFL_2018_7_19_SSK@HAM,2018-07-19,2018,1,CFL,SSK,HAM,1.0,1.0,23.0,5.0,7.0,,13.0,67.0,,,,,,,,,
FOOTBALL_CFL_2018_7_28_OTT@HAM,2018-07-28,2018,1,CFL,OTT,HAM,1.0,1.0,50.0,8.0,8.0,1.0,45.0,154.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_7_5_HAM@SSK,2018-07-05,2018,1,CFL,HAM,SSK,,,18.0,5.0,10.0,,9.0,67.0,,,,,,,,,
FOOTBALL_CFL_2018_8_10_HAM@WPG,2018-08-10,2018,1,CFL,HAM,WPG,,,26.0,1.0,1.0,,,26.0,,,,,,,,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,,,48.0,7.0,10.0,1.0,19.0,150.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_9_3_TOR@HAM,2018-09-03,2018,1,CFL,TOR,HAM,,,16.0,2.0,4.0,,27.0,27.0,,,,,,,,,
